judge,session,blind_id,prompt_id,displayed_label,response_hash,composite
claude-opus-4.7,1,e6b311403e14,repl-code-001,gemini-3.1-pro,20a0901d4b,3.600
claude-opus-4.7,1,51ab79ca0534,repl-code-001,gemini-3.1-pro,5e1adcd017,6.000
claude-opus-4.7,1,893b52ec0c8e,repl-code-001,claude-opus-4.7,a2c295d8e5,9.400
claude-opus-4.7,1,a94677bf3175,repl-code-001,kimi-k2.6,bcaab024d6,10.000
claude-opus-4.7,1,c0283e312c81,repl-creative-001,gpt-5.5,18ffe26d1c,9.800
claude-opus-4.7,1,c87bccf2173b,repl-creative-001,gpt-5.5,3914796db0,6.000
claude-opus-4.7,1,a7e8ea5ddd9b,repl-creative-001,gpt-5.5,3be717de2a,9.800
claude-opus-4.7,1,6cf03483b7f7,repl-creative-001,gemini-3.1-pro,e9860d8135,9.000
claude-opus-4.7,1,cc4657911c7d,repl-design-001,claude-opus-4.7,0cfbc7b9ba,8.800
claude-opus-4.7,1,08a8b8a0f268,repl-design-001,gemini-3.1-pro,1bc82ab247,8.000
claude-opus-4.7,1,4da35606fa3f,repl-design-001,gemini-3.1-pro,8e0a874016,9.800
claude-opus-4.7,1,9ae7d6436a7d,repl-design-001,kimi-k2.6,ccf20f11ff,6.200
claude-opus-4.7,1,d5825df07b9d,repl-ethics-001,kimi-k2.6,a2a0ddcf5a,9.600
claude-opus-4.7,1,5bdaca7975fe,repl-ethics-001,kimi-k2.6,b3eb125ea7,5.400
claude-opus-4.7,1,f6ddb649026b,repl-ethics-001,kimi-k2.6,ccf4a39926,8.200
claude-opus-4.7,1,e1f8fc131de3,repl-ethics-001,gemini-3.1-pro,f53674646a,8.400
claude-opus-4.7,1,2cf0378ccbcd,repl-explain-001,gpt-5.5,4893d71325,9.000
claude-opus-4.7,1,9d02dab5a1d4,repl-explain-001,claude-opus-4.7,819b823278,8.000
claude-opus-4.7,1,c16822aee498,repl-explain-001,gpt-5.5,97433b368a,8.600
claude-opus-4.7,1,2d354b6bfb1b,repl-explain-001,claude-opus-4.7,caf29d0ba0,8.400
claude-opus-4.7,1,650060a68220,repl-history-001,gpt-5.5,9f80277cea,8.800
claude-opus-4.7,1,25170c8efa66,repl-history-001,claude-opus-4.7,c126f5aa1a,9.000
claude-opus-4.7,1,2ce9dcded916,repl-history-001,kimi-k2.6,d90d15605f,8.800
claude-opus-4.7,1,01e7c4604980,repl-history-001,kimi-k2.6,f53991af0c,10.000
claude-opus-4.7,1,6def06af8364,repl-logic-001,gemini-3.1-pro,180473d57f,8.800
claude-opus-4.7,1,55b345c070b7,repl-logic-001,claude-opus-4.7,1dc7dc93dd,9.000
claude-opus-4.7,1,cda5257dfe97,repl-logic-001,kimi-k2.6,32844b97f7,4.000
claude-opus-4.7,1,8d6495f61e20,repl-logic-001,gpt-5.5,c66161276c,8.600
claude-opus-4.7,1,3bdf1507ed42,repl-math-001,kimi-k2.6,086b8d5b34,4.600
claude-opus-4.7,1,2de21113a48b,repl-math-001,claude-opus-4.7,19b01caacd,9.200
claude-opus-4.7,1,66afe50ebf77,repl-math-001,gpt-5.5,6b79f4dcb4,9.200
claude-opus-4.7,1,70787478cbad,repl-math-001,gemini-3.1-pro,b73872a0d3,9.600
claude-opus-4.7,1,8dd19d2fb6a7,repl-philosophy-001,gemini-3.1-pro,1cdbd420f8,7.800
claude-opus-4.7,1,e35163c17e68,repl-philosophy-001,kimi-k2.6,4fcc3d7399,9.400
claude-opus-4.7,1,8a14bde55945,repl-philosophy-001,gpt-5.5,a4b436bf10,8.000
claude-opus-4.7,1,518e30a97b2f,repl-philosophy-001,claude-opus-4.7,e38110c310,9.200
claude-opus-4.7,1,03be68f7d345,repl-science-001,claude-opus-4.7,64d77dccba,10.000
claude-opus-4.7,1,9d1468536267,repl-science-001,gemini-3.1-pro,8a9b400659,8.800
claude-opus-4.7,1,cada8a39266f,repl-science-001,claude-opus-4.7,c4cc12f996,9.400
claude-opus-4.7,1,548705c95c92,repl-science-001,gpt-5.5,fed7d58d0c,6.000
claude-opus-4.7,2,713325b846a4,repl-code-001,kimi-k2.6,20a0901d4b,4.800
claude-opus-4.7,2,1d5cdea94691,repl-code-001,claude-opus-4.7,5e1adcd017,6.400
claude-opus-4.7,2,099873eae4a7,repl-code-001,gpt-5.5,a2c295d8e5,8.400
claude-opus-4.7,2,3973e351bad4,repl-code-001,claude-opus-4.7,bcaab024d6,10.000
claude-opus-4.7,2,390d86dd1ebb,repl-creative-001,kimi-k2.6,18ffe26d1c,9.600
claude-opus-4.7,2,6c9e9acd4dad,repl-creative-001,gemini-3.1-pro,3914796db0,5.600
claude-opus-4.7,2,2edd843d3d9c,repl-creative-001,claude-opus-4.7,3be717de2a,10.000
claude-opus-4.7,2,91df37219349,repl-creative-001,claude-opus-4.7,e9860d8135,9.400
claude-opus-4.7,2,063ccef4e5e2,repl-design-001,gpt-5.5,0cfbc7b9ba,8.600
claude-opus-4.7,2,497c66d60aec,repl-design-001,kimi-k2.6,1bc82ab247,8.200
claude-opus-4.7,2,590ec56fb9d6,repl-design-001,kimi-k2.6,8e0a874016,9.400
claude-opus-4.7,2,ee50e91cb940,repl-design-001,gemini-3.1-pro,ccf20f11ff,7.000
claude-opus-4.7,2,5c6b2b195685,repl-ethics-001,gpt-5.5,a2a0ddcf5a,9.800
claude-opus-4.7,2,2846e09e77fc,repl-ethics-001,gpt-5.5,b3eb125ea7,6.000
claude-opus-4.7,2,ef76550bc4fe,repl-ethics-001,claude-opus-4.7,ccf4a39926,8.400
claude-opus-4.7,2,f25aa1b9fa9b,repl-ethics-001,gpt-5.5,f53674646a,8.600
claude-opus-4.7,2,d4f371866c43,repl-explain-001,gemini-3.1-pro,4893d71325,9.000
claude-opus-4.7,2,e7eb4dea1361,repl-explain-001,gemini-3.1-pro,819b823278,7.800
claude-opus-4.7,2,40d640df553f,repl-explain-001,kimi-k2.6,97433b368a,9.600
claude-opus-4.7,2,86a4649aef67,repl-explain-001,gpt-5.5,caf29d0ba0,8.200
claude-opus-4.7,2,d088e9e38d1c,repl-history-001,claude-opus-4.7,9f80277cea,8.800
claude-opus-4.7,2,86a271fc7830,repl-history-001,gpt-5.5,c126f5aa1a,9.800
claude-opus-4.7,2,1f9544d650fd,repl-history-001,claude-opus-4.7,d90d15605f,9.200
claude-opus-4.7,2,eb144b8ac146,repl-history-001,gemini-3.1-pro,f53991af0c,10.000
claude-opus-4.7,2,93be7d43aa34,repl-logic-001,kimi-k2.6,180473d57f,8.800
claude-opus-4.7,2,18d5598abb7a,repl-logic-001,gpt-5.5,1dc7dc93dd,9.000
claude-opus-4.7,2,9182455ebfa1,repl-logic-001,claude-opus-4.7,32844b97f7,5.800
claude-opus-4.7,2,8a121aeba99f,repl-logic-001,gemini-3.1-pro,c66161276c,8.400
claude-opus-4.7,2,dd535fb8d38c,repl-math-001,gemini-3.1-pro,086b8d5b34,5.400
claude-opus-4.7,2,685403426ce6,repl-math-001,kimi-k2.6,19b01caacd,9.400
claude-opus-4.7,2,dc33d23ef644,repl-math-001,gemini-3.1-pro,6b79f4dcb4,9.400
claude-opus-4.7,2,366ef4b786ed,repl-math-001,claude-opus-4.7,b73872a0d3,9.800
claude-opus-4.7,2,4c51ee035027,repl-philosophy-001,kimi-k2.6,1cdbd420f8,7.800
claude-opus-4.7,2,a71a0998d2e9,repl-philosophy-001,claude-opus-4.7,4fcc3d7399,8.000
claude-opus-4.7,2,ef92baf3f07e,repl-philosophy-001,kimi-k2.6,a4b436bf10,9.000
claude-opus-4.7,2,870bc2e02b2c,repl-philosophy-001,gemini-3.1-pro,e38110c310,9.400
claude-opus-4.7,2,2c3def001a55,repl-science-001,kimi-k2.6,64d77dccba,10.000
claude-opus-4.7,2,32cc0839ccae,repl-science-001,gpt-5.5,8a9b400659,8.800
claude-opus-4.7,2,7fa0e9434388,repl-science-001,gpt-5.5,c4cc12f996,8.400
claude-opus-4.7,2,8468761e0895,repl-science-001,gemini-3.1-pro,fed7d58d0c,6.200
gemini-3.1-pro,1,e6b311403e14,repl-code-001,gemini-3.1-pro,20a0901d4b,9.200
gemini-3.1-pro,1,51ab79ca0534,repl-code-001,gemini-3.1-pro,5e1adcd017,9.600
gemini-3.1-pro,1,893b52ec0c8e,repl-code-001,claude-opus-4.7,a2c295d8e5,9.400
gemini-3.1-pro,1,a94677bf3175,repl-code-001,kimi-k2.6,bcaab024d6,9.400
gemini-3.1-pro,1,c0283e312c81,repl-creative-001,gpt-5.5,18ffe26d1c,8.600
