prompt_id,author_short,author_model,paraphraser_short,paraphraser_model
code-001,C,claude-opus-4.7,G,gemini-3.1-pro
code-001,G,gemini-3.1-pro,C,claude-opus-4.7
code-001,K,kimi-k2.6,C,claude-opus-4.7
code-001,P,gpt-5.5,C,claude-opus-4.7
code-002,C,claude-opus-4.7,K,kimi-k2.6
code-002,G,gemini-3.1-pro,K,kimi-k2.6
code-002,K,kimi-k2.6,G,gemini-3.1-pro
code-002,P,gpt-5.5,G,gemini-3.1-pro
code-003,C,claude-opus-4.7,P,gpt-5.5
code-003,G,gemini-3.1-pro,P,gpt-5.5
code-003,K,kimi-k2.6,P,gpt-5.5
code-003,P,gpt-5.5,K,kimi-k2.6
code-004,C,claude-opus-4.7,G,gemini-3.1-pro
code-004,G,gemini-3.1-pro,C,claude-opus-4.7
code-004,K,kimi-k2.6,C,claude-opus-4.7
code-004,P,gpt-5.5,C,claude-opus-4.7
code-005,C,claude-opus-4.7,K,kimi-k2.6
code-005,G,gemini-3.1-pro,K,kimi-k2.6
code-005,K,kimi-k2.6,G,gemini-3.1-pro
code-005,P,gpt-5.5,G,gemini-3.1-pro
math-001,C,claude-opus-4.7,P,gpt-5.5
math-001,G,gemini-3.1-pro,P,gpt-5.5
math-001,K,kimi-k2.6,P,gpt-5.5
math-001,P,gpt-5.5,K,kimi-k2.6
math-002,C,claude-opus-4.7,G,gemini-3.1-pro
math-002,G,gemini-3.1-pro,C,claude-opus-4.7
math-002,K,kimi-k2.6,C,claude-opus-4.7
math-002,P,gpt-5.5,C,claude-opus-4.7
math-003,C,claude-opus-4.7,K,kimi-k2.6
math-003,G,gemini-3.1-pro,K,kimi-k2.6
math-003,K,kimi-k2.6,G,gemini-3.1-pro
math-003,P,gpt-5.5,G,gemini-3.1-pro
logic-001,C,claude-opus-4.7,P,gpt-5.5
logic-001,G,gemini-3.1-pro,P,gpt-5.5
logic-001,K,kimi-k2.6,P,gpt-5.5
logic-001,P,gpt-5.5,K,kimi-k2.6
logic-002,C,claude-opus-4.7,G,gemini-3.1-pro
logic-002,G,gemini-3.1-pro,C,claude-opus-4.7
logic-002,K,kimi-k2.6,C,claude-opus-4.7
logic-002,P,gpt-5.5,C,claude-opus-4.7
logic-003,C,claude-opus-4.7,K,kimi-k2.6
logic-003,G,gemini-3.1-pro,K,kimi-k2.6
logic-003,K,kimi-k2.6,G,gemini-3.1-pro
logic-003,P,gpt-5.5,G,gemini-3.1-pro
creative-001,C,claude-opus-4.7,P,gpt-5.5
creative-001,G,gemini-3.1-pro,P,gpt-5.5
creative-001,K,kimi-k2.6,P,gpt-5.5
creative-001,P,gpt-5.5,K,kimi-k2.6
creative-002,C,claude-opus-4.7,G,gemini-3.1-pro
creative-002,G,gemini-3.1-pro,C,claude-opus-4.7
creative-002,K,kimi-k2.6,C,claude-opus-4.7
creative-002,P,gpt-5.5,C,claude-opus-4.7
