judge,session,prompt_id,blind_id,original_blind_id,actual_author,displayed_label,is_true_self,is_displayed_self,is_displayed_kimi,composite_score,correctness,completeness,clarity,creativity,constraint_adherence
gemini-3.1-pro,session_1,repl-logic-001,6def06af8364,r_b143f527dc2c,claude-opus-4.7,gemini-3.1-pro,False,True,False,9.2,9.0,10.0,9.0,8.0,10.0
gemini-3.1-pro,session_1,repl-code-001,893b52ec0c8e,r_108eca5cab12,gpt-5.5,claude-opus-4.7,False,False,False,8.8,9.0,9.0,9.0,7.0,10.0
gemini-3.1-pro,session_1,repl-code-001,e6b311403e14,r_6a2aa2760e65,kimi-k2.6,gemini-3.1-pro,False,True,False,3.6,3.0,3.0,5.0,4.0,3.0
gemini-3.1-pro,session_1,repl-philosophy-001,8dd19d2fb6a7,r_2403dce55808,kimi-k2.6,gemini-3.1-pro,False,True,False,6.2,8.0,6.0,8.0,6.0,3.0
gemini-3.1-pro,session_1,repl-explain-001,2cf0378ccbcd,r_33d155c09954,gpt-5.5,gpt-5.5,False,False,False,9.2,10.0,9.0,10.0,7.0,10.0
gemini-3.1-pro,session_1,repl-logic-001,cda5257dfe97,r_7375f926bb45,kimi-k2.6,kimi-k2.6,False,False,True,3.2,2.0,1.0,7.0,4.0,2.0
gemini-3.1-pro,session_1,repl-design-001,cc4657911c7d,r_69be5c458b90,gemini-3.1-pro,claude-opus-4.7,True,False,False,8.2,8.0,8.0,9.0,6.0,10.0
gemini-3.1-pro,session_1,repl-philosophy-001,e35163c17e68,r_e9da747fa09f,gemini-3.1-pro,kimi-k2.6,True,False,True,7.4,8.0,9.0,9.0,7.0,4.0
gemini-3.1-pro,session_1,repl-explain-001,9d02dab5a1d4,r_efc98d3f8186,kimi-k2.6,claude-opus-4.7,False,False,False,7.6,9.0,8.0,8.0,6.0,7.0
gemini-3.1-pro,session_1,repl-math-001,2de21113a48b,r_4b6d692d9b1a,gpt-5.5,claude-opus-4.7,False,False,False,8.8,10.0,10.0,10.0,4.0,10.0
