scope,condition,term,full_beta,loo_min,loo_min_prompt,loo_max,loo_max_prompt,loo_mean,loo_sd,loo_range,sign_flips_vs_full,n_leave_one_out_fits,n_rows_full
pooled,c1,author_is_self,-0.19104052297688728,-0.23018616270303704,translate-002,-0.14067973673731293,explain-001,-0.19100908073678796,0.025562640049034677,0.08950642596572411,0,30,480
pooled,c1,predicted_self,0.5012470590834253,0.4263448028487725,explain-001,0.550035706124308,translate-002,0.5012273901297297,0.03680844517932741,0.12369090327553545,0,30,480
claude-opus-4.7,c1,author_is_self,1.6371794871794902,1.4664935064935185,code-003,1.7283116883117007,code-001,1.6371595959595957,0.04049376051620178,0.26181818181818217,0,30,120
claude-opus-4.7,c1,predicted_self,0.13717948717949313,0.048311688311687195,code-001,0.34649350649350596,code-003,0.13715959595959457,0.04615803468569389,0.29818181818181877,0,30,120
gemini-3.1-pro,c1,author_is_self,0.006706302021394633,-0.0013176597471885598,economics-001,0.0161426668982651,math-003,0.006678778227901131,0.0036604636682817495,0.01746032664545366,2,30,120
gemini-3.1-pro,c1,predicted_self,-0.09821640903690232,-0.11782762691854087,philosophy-001,-0.08209027551383807,science-001,-0.09887324031512107,0.007993809682238628,0.0357373514047028,0,30,120
gpt-5.5,c1,author_is_self,0.7615384615384635,0.7085714285714293,logic-001,0.8028571428571436,math-002,0.761477633477632,0.022678467841314116,0.0942857142857143,0,30,120
gpt-5.5,c1,predicted_self,0.4948717948718009,0.4560000000000066,creative-005,0.5485714285714279,logic-001,0.494810966810967,0.021293386085840638,0.09257142857142131,0,30,120
kimi-k2.6,c1,author_is_self,-2.8500000000000174,-2.963265306122447,translate-001,-2.6798066595059122,ethics-001,-2.849910261977131,0.1084570886543931,0.28345864661653497,0,30,120
kimi-k2.6,c1,predicted_self,-0.05000000000000071,-0.15319148936169746,code-001,0.0851063829787182,ethics-002,-0.049910261977130124,0.07347285148983733,0.23829787234041566,9,30,120
pooled,c2,author_is_self,-0.3490496835408066,-0.41570733804349524,code-005,-0.30203889122927213,explain-001,-0.3490954208852453,0.02788373625425746,0.11366844681422311,0,30,480
pooled,c2,predicted_self,0.4989849005335042,0.43192247516878407,explain-001,0.5906724030708892,code-005,0.499041611714213,0.03984257221074414,0.15874992790210513,0,30,480
claude-opus-4.7,c2,author_is_self,1.4269230769230776,0.9051948051948164,code-005,1.683636363636377,code-004,1.42684733044733,0.12069551486914189,0.7784415584415605,0,30,120
claude-opus-4.7,c2,predicted_self,-0.30641025641024866,-0.556363636363638,code-004,0.30519480519480524,code-005,-0.3064860028860042,0.1336362406222997,0.8615584415584432,1,30,120
gemini-3.1-pro,c2,author_is_self,-0.012602457392001942,-0.01839080459770548,explain-002,-0.0038396320835121234,math-003,-0.012634060580018376,0.004102364913840512,0.014551172514193356,0,30,120
gemini-3.1-pro,c2,predicted_self,-0.06711058263975622,-0.09916561671228347,logic-002,-0.051164347956282274,science-001,-0.0677515238556048,0.008738306085990353,0.04800126875600119,0,30,120
gpt-5.5,c2,author_is_self,0.8205128205128218,0.7620000000000022,creative-002,0.8719480519480531,math-001,0.8204906204906192,0.02504892579351894,0.1099480519480509,0,30,120
gpt-5.5,c2,predicted_self,0.4538461538461602,0.39533333333333864,creative-002,0.5254545454545445,logic-001,0.45382395382395396,0.024457935014746836,0.13012121212120586,0,30,120
kimi-k2.6,c2,author_is_self,-2.9720000000000177,-3.0848549946294286,translate-001,-2.808163265306127,ethics-001,-2.971914893617021,0.1070829833275049,0.27669172932330177,0,30,120
kimi-k2.6,c2,predicted_self,0.0679999999999994,-0.037446808510634755,code-001,0.20297872340424927,ethics-002,0.06808510638297971,0.07008040569722371,0.24042553191488403,8,30,120
pooled,c3,author_is_self,-0.2654196996307042,-0.30744212215094857,translate-002,-0.21696224438699813,explain-001,-0.26537182427981765,0.024532755402173007,0.09047987776395044,0,30,480
pooled,c3,predicted_self,0.5182220847646686,0.4452063781235142,explain-001,0.5683099679504426,science-002,0.5181632426591217,0.037088624946192396,0.12310358982692843,0,30,480
claude-opus-4.7,c3,author_is_self,1.2269230769230801,1.0587012987013118,code-003,1.2805194805194913,code-005,1.2268888888888887,0.03968251414095381,0.22181818181817947,0,30,120
claude-opus-4.7,c3,predicted_self,0.3269230769230836,0.2792207792207795,code-001,0.5387012987012987,code-003,0.32688888888888773,0.0453888479413256,0.2594805194805192,0,30,120
gemini-3.1-pro,c3,author_is_self,0.006706302021395327,-0.0013176597471886708,economics-001,0.01614266689826538,math-003,0.0066787782279011205,0.0036604636682817672,0.01746032664545405,2,30,120
gemini-3.1-pro,c3,predicted_self,-0.09821640903690287,-0.11782762691854087,philosophy-001,-0.08209027551383796,logic-002,-0.09887324031512099,0.00799380968223877,0.03573735140470291,0,30,120
gpt-5.5,c3,author_is_self,0.7615384615384626,0.7085714285714304,logic-001,0.8028571428571438,math-002,0.7614776334776323,0.022678467841314477,0.09428571428571342,0,30,120
gpt-5.5,c3,predicted_self,0.4948717948718011,0.4560000000000057,creative-005,0.5485714285714285,logic-001,0.49481096681096676,0.021293386085840728,0.09257142857142281,0,30,120
kimi-k2.6,c3,author_is_self,-2.8500000000000174,-2.963265306122448,translate-001,-2.679806659505912,ethics-001,-2.849910261977131,0.10845708865439309,0.2834586466165363,0,30,120
kimi-k2.6,c3,predicted_self,-0.05000000000000049,-0.1531914893616979,code-001,0.08510638297871709,ethics-002,-0.04991026197713011,0.07347285148983715,0.238297872340415,9,30,120
