judge,true_author,predicted_author,confidence,prompt_id
gemini-3.1-pro,gemini-3.1-pro,gemini-3.1-pro,3,repl-code-001
gemini-3.1-pro,kimi-k2.6,gemini-3.1-pro,3,repl-code-001
gemini-3.1-pro,claude-opus-4.7,gemini-3.1-pro,5,repl-code-001
gemini-3.1-pro,gpt-5.5,gemini-3.1-pro,4,repl-code-001
gemini-3.1-pro,claude-opus-4.7,gemini-3.1-pro,5,repl-logic-001
gemini-3.1-pro,gpt-5.5,gemini-3.1-pro,4,repl-logic-001
gemini-3.1-pro,gemini-3.1-pro,gemini-3.1-pro,4,repl-logic-001
gemini-3.1-pro,kimi-k2.6,gemini-3.1-pro,3,repl-logic-001
gemini-3.1-pro,gemini-3.1-pro,gemini-3.1-pro,3,repl-creative-001
gemini-3.1-pro,gpt-5.5,gemini-3.1-pro,4,repl-creative-001
gemini-3.1-pro,claude-opus-4.7,gemini-3.1-pro,4,repl-creative-001
gemini-3.1-pro,kimi-k2.6,gemini-3.1-pro,3,repl-creative-001
gemini-3.1-pro,claude-opus-4.7,gemini-3.1-pro,5,repl-ethics-001
gemini-3.1-pro,kimi-k2.6,claude-opus-4.7,5,repl-ethics-001
gemini-3.1-pro,gpt-5.5,claude-opus-4.7,5,repl-ethics-001
gemini-3.1-pro,gemini-3.1-pro,gemini-3.1-pro,3,repl-ethics-001
gemini-3.1-pro,gpt-5.5,gpt-5.5,3,repl-science-001
gemini-3.1-pro,gemini-3.1-pro,gemini-3.1-pro,5,repl-science-001
gemini-3.1-pro,kimi-k2.6,gemini-3.1-pro,4,repl-science-001
gemini-3.1-pro,claude-opus-4.7,gemini-3.1-pro,3,repl-science-001
gemini-3.1-pro,gpt-5.5,gemini-3.1-pro,5,repl-math-001
gemini-3.1-pro,gemini-3.1-pro,gemini-3.1-pro,4,repl-math-001
gemini-3.1-pro,kimi-k2.6,gemini-3.1-pro,3,repl-math-001
gemini-3.1-pro,claude-opus-4.7,claude-opus-4.7,4,repl-math-001
gemini-3.1-pro,gpt-5.5,gemini-3.1-pro,3,repl-design-001
gemini-3.1-pro,claude-opus-4.7,gemini-3.1-pro,5,repl-design-001
gemini-3.1-pro,gemini-3.1-pro,kimi-k2.6,3,repl-design-001
gemini-3.1-pro,kimi-k2.6,gemini-3.1-pro,5,repl-design-001
gemini-3.1-pro,claude-opus-4.7,gpt-5.5,5,repl-philosophy-001
gemini-3.1-pro,gpt-5.5,gemini-3.1-pro,5,repl-philosophy-001
gemini-3.1-pro,kimi-k2.6,gemini-3.1-pro,4,repl-philosophy-001
gemini-3.1-pro,gemini-3.1-pro,kimi-k2.6,3,repl-philosophy-001
gemini-3.1-pro,kimi-k2.6,gemini-3.1-pro,4,repl-history-001
gemini-3.1-pro,gemini-3.1-pro,gemini-3.1-pro,5,repl-history-001
gemini-3.1-pro,claude-opus-4.7,gemini-3.1-pro,4,repl-history-001
gemini-3.1-pro,gpt-5.5,gemini-3.1-pro,4,repl-history-001
gemini-3.1-pro,gemini-3.1-pro,gemini-3.1-pro,5,repl-explain-001
gemini-3.1-pro,kimi-k2.6,gemini-3.1-pro,5,repl-explain-001
gemini-3.1-pro,claude-opus-4.7,gemini-3.1-pro,5,repl-explain-001
gemini-3.1-pro,gpt-5.5,gemini-3.1-pro,4,repl-explain-001
