judge_a,judge_b,response_hash,prompt_id,actual_author,delta_a,delta_b,same_sign_nonzero,opposite_sign_nonzero,any_tie
gemini-3.1-pro,kimi-k2.6,086b8d5b34,repl-math-001,kimi-k2.6,+1.400,-1.400,false,true,false
claude-opus-4.7,gpt-5.5,0cfbc7b9ba,repl-design-001,gemini-3.1-pro,+0.200,+0.000,false,false,true
gemini-3.1-pro,kimi-k2.6,180473d57f,repl-logic-001,claude-opus-4.7,+0.000,-0.200,false,false,true
gpt-5.5,kimi-k2.6,18ffe26d1c,repl-creative-001,claude-opus-4.7,+0.000,-0.600,false,false,true
claude-opus-4.7,kimi-k2.6,19b01caacd,repl-math-001,gpt-5.5,-0.200,-0.200,true,false,false
gemini-3.1-pro,kimi-k2.6,1bc82ab247,repl-design-001,gpt-5.5,+0.400,+0.200,true,false,false
gemini-3.1-pro,kimi-k2.6,1cdbd420f8,repl-philosophy-001,kimi-k2.6,+1.200,+1.800,true,false,false
claude-opus-4.7,gpt-5.5,1dc7dc93dd,repl-logic-001,gemini-3.1-pro,+0.000,+0.000,false,false,true
gemini-3.1-pro,kimi-k2.6,20a0901d4b,repl-code-001,kimi-k2.6,+0.400,+2.400,true,false,false
claude-opus-4.7,kimi-k2.6,32844b97f7,repl-logic-001,kimi-k2.6,+1.800,+0.400,true,false,false
gemini-3.1-pro,gpt-5.5,3914796db0,repl-creative-001,kimi-k2.6,+1.400,+0.000,false,false,true
claude-opus-4.7,gpt-5.5,3be717de2a,repl-creative-001,gpt-5.5,+0.200,+0.000,false,false,true
gemini-3.1-pro,gpt-5.5,4893d71325,repl-explain-001,gpt-5.5,+0.400,+0.000,false,false,true
claude-opus-4.7,kimi-k2.6,4fcc3d7399,repl-philosophy-001,gemini-3.1-pro,-1.400,+0.400,false,true,false
claude-opus-4.7,gemini-3.1-pro,5e1adcd017,repl-code-001,gemini-3.1-pro,+0.400,+0.000,false,false,true
claude-opus-4.7,kimi-k2.6,64d77dccba,repl-science-001,claude-opus-4.7,+0.000,-1.600,false,false,true
gemini-3.1-pro,gpt-5.5,6b79f4dcb4,repl-math-001,gemini-3.1-pro,+0.000,+0.000,false,false,true
claude-opus-4.7,gemini-3.1-pro,819b823278,repl-explain-001,kimi-k2.6,+0.200,+0.400,true,false,false
gemini-3.1-pro,gpt-5.5,8a9b400659,repl-science-001,gemini-3.1-pro,+0.400,+0.000,false,false,true
gemini-3.1-pro,kimi-k2.6,8e0a874016,repl-design-001,claude-opus-4.7,+0.400,+0.200,true,false,false
gpt-5.5,kimi-k2.6,97433b368a,repl-explain-001,claude-opus-4.7,+0.000,-0.600,false,false,true
claude-opus-4.7,gpt-5.5,9f80277cea,repl-history-001,gpt-5.5,+0.000,+0.000,false,false,true
gpt-5.5,kimi-k2.6,a2a0ddcf5a,repl-ethics-001,claude-opus-4.7,+0.000,+1.800,false,false,true
claude-opus-4.7,gpt-5.5,a2c295d8e5,repl-code-001,gpt-5.5,+1.000,+0.000,false,false,true
gpt-5.5,kimi-k2.6,a4b436bf10,repl-philosophy-001,gpt-5.5,+0.000,+0.200,false,false,true
gpt-5.5,kimi-k2.6,b3eb125ea7,repl-ethics-001,kimi-k2.6,+0.000,-1.800,false,false,true
claude-opus-4.7,gemini-3.1-pro,b73872a0d3,repl-math-001,claude-opus-4.7,+0.200,+0.200,true,false,false
claude-opus-4.7,kimi-k2.6,bcaab024d6,repl-code-001,claude-opus-4.7,+0.000,-1.800,false,false,true
claude-opus-4.7,gpt-5.5,c126f5aa1a,repl-history-001,kimi-k2.6,-0.800,+0.000,false,false,true
claude-opus-4.7,gpt-5.5,c4cc12f996,repl-science-001,gpt-5.5,+1.000,+0.000,false,false,true
gemini-3.1-pro,gpt-5.5,c66161276c,repl-logic-001,gpt-5.5,-0.600,+0.000,false,false,true
claude-opus-4.7,gpt-5.5,caf29d0ba0,repl-explain-001,gemini-3.1-pro,+0.200,+0.000,false,false,true
gemini-3.1-pro,kimi-k2.6,ccf20f11ff,repl-design-001,kimi-k2.6,+0.400,+0.200,true,false,false
claude-opus-4.7,kimi-k2.6,ccf4a39926,repl-ethics-001,gemini-3.1-pro,+0.200,+0.000,false,false,true
claude-opus-4.7,kimi-k2.6,d90d15605f,repl-history-001,gemini-3.1-pro,+0.400,+0.400,true,false,false
claude-opus-4.7,gemini-3.1-pro,e38110c310,repl-philosophy-001,claude-opus-4.7,-0.200,+0.200,false,true,false
claude-opus-4.7,gemini-3.1-pro,e9860d8135,repl-creative-001,gemini-3.1-pro,+0.400,+0.600,true,false,false
gemini-3.1-pro,gpt-5.5,f53674646a,repl-ethics-001,gpt-5.5,+0.400,+0.000,false,false,true
gemini-3.1-pro,kimi-k2.6,f53991af0c,repl-history-001,claude-opus-4.7,+1.200,+0.400,true,false,false
gemini-3.1-pro,gpt-5.5,fed7d58d0c,repl-science-001,kimi-k2.6,+0.000,+0.000,false,false,true
