judge,response_hash,prompt_id,actual_author,other_label,self_composite,other_composite,delta
claude-opus-4.7,4fcc3d7399,repl-philosophy-001,gemini-3.1-pro,kimi-k2.6,8.000,9.400,-1.400
claude-opus-4.7,ccf4a39926,repl-ethics-001,gemini-3.1-pro,kimi-k2.6,8.400,8.200,+0.200
claude-opus-4.7,32844b97f7,repl-logic-001,kimi-k2.6,kimi-k2.6,5.800,4.000,+1.800
claude-opus-4.7,9f80277cea,repl-history-001,gpt-5.5,gpt-5.5,8.800,8.800,+0.000
claude-opus-4.7,c126f5aa1a,repl-history-001,kimi-k2.6,gpt-5.5,9.000,9.800,-0.800
claude-opus-4.7,5e1adcd017,repl-code-001,gemini-3.1-pro,gemini-3.1-pro,6.400,6.000,+0.400
claude-opus-4.7,caf29d0ba0,repl-explain-001,gemini-3.1-pro,gpt-5.5,8.400,8.200,+0.200
claude-opus-4.7,3be717de2a,repl-creative-001,gpt-5.5,gpt-5.5,10.000,9.800,+0.200
claude-opus-4.7,a2c295d8e5,repl-code-001,gpt-5.5,gpt-5.5,9.400,8.400,+1.000
claude-opus-4.7,0cfbc7b9ba,repl-design-001,gemini-3.1-pro,gpt-5.5,8.800,8.600,+0.200
claude-opus-4.7,819b823278,repl-explain-001,kimi-k2.6,gemini-3.1-pro,8.000,7.800,+0.200
claude-opus-4.7,d90d15605f,repl-history-001,gemini-3.1-pro,kimi-k2.6,9.200,8.800,+0.400
claude-opus-4.7,1dc7dc93dd,repl-logic-001,gemini-3.1-pro,gpt-5.5,9.000,9.000,+0.000
claude-opus-4.7,e9860d8135,repl-creative-001,gemini-3.1-pro,gemini-3.1-pro,9.400,9.000,+0.400
claude-opus-4.7,b73872a0d3,repl-math-001,claude-opus-4.7,gemini-3.1-pro,9.800,9.600,+0.200
claude-opus-4.7,c4cc12f996,repl-science-001,gpt-5.5,gpt-5.5,9.400,8.400,+1.000
claude-opus-4.7,e38110c310,repl-philosophy-001,claude-opus-4.7,gemini-3.1-pro,9.200,9.400,-0.200
claude-opus-4.7,64d77dccba,repl-science-001,claude-opus-4.7,kimi-k2.6,10.000,10.000,+0.000
claude-opus-4.7,bcaab024d6,repl-code-001,claude-opus-4.7,kimi-k2.6,10.000,10.000,+0.000
claude-opus-4.7,19b01caacd,repl-math-001,gpt-5.5,kimi-k2.6,9.200,9.400,-0.200
gemini-3.1-pro,180473d57f,repl-logic-001,claude-opus-4.7,kimi-k2.6,9.400,9.400,+0.000
gemini-3.1-pro,20a0901d4b,repl-code-001,kimi-k2.6,kimi-k2.6,9.200,8.800,+0.400
gemini-3.1-pro,1cdbd420f8,repl-philosophy-001,kimi-k2.6,kimi-k2.6,9.800,8.600,+1.200
gemini-3.1-pro,4893d71325,repl-explain-001,gpt-5.5,gpt-5.5,9.800,9.400,+0.400
gemini-3.1-pro,819b823278,repl-explain-001,kimi-k2.6,claude-opus-4.7,9.400,9.000,+0.400
gemini-3.1-pro,fed7d58d0c,repl-science-001,kimi-k2.6,gpt-5.5,9.400,9.400,+0.000
