judge,true_author,predicted_author,confidence,prompt_id
kimi-k2.6,gemini-3.1-pro,gemini-3.1-pro,3,code-001
kimi-k2.6,claude-opus-4.7,claude-opus-4.7,5,code-001
kimi-k2.6,gpt-5.5,gpt-5.5,3,code-001
kimi-k2.6,kimi-k2.6,kimi-k2.6,4,code-001
kimi-k2.6,claude-opus-4.7,claude-opus-4.7,5,code-002
kimi-k2.6,gemini-3.1-pro,gemini-3.1-pro,3,code-002
kimi-k2.6,gpt-5.5,gpt-5.5,3,code-002
kimi-k2.6,kimi-k2.6,kimi-k2.6,3,code-002
kimi-k2.6,kimi-k2.6,kimi-k2.6,3,code-003
kimi-k2.6,gemini-3.1-pro,gemini-3.1-pro,3,code-003
kimi-k2.6,claude-opus-4.7,claude-opus-4.7,5,code-003
kimi-k2.6,gpt-5.5,gpt-5.5,4,code-003
kimi-k2.6,claude-opus-4.7,claude-opus-4.7,5,code-004
kimi-k2.6,kimi-k2.6,kimi-k2.6,3,code-004
kimi-k2.6,gemini-3.1-pro,gemini-3.1-pro,3,code-004
kimi-k2.6,gpt-5.5,gpt-5.5,3,code-004
kimi-k2.6,kimi-k2.6,gemini-3.1-pro,3,code-005
kimi-k2.6,claude-opus-4.7,claude-opus-4.7,5,code-005
kimi-k2.6,gpt-5.5,kimi-k2.6,3,code-005
kimi-k2.6,gemini-3.1-pro,gpt-5.5,3,code-005
kimi-k2.6,gemini-3.1-pro,gpt-5.5,3,math-001
kimi-k2.6,gpt-5.5,gemini-3.1-pro,3,math-001
kimi-k2.6,claude-opus-4.7,claude-opus-4.7,4,math-001
kimi-k2.6,kimi-k2.6,kimi-k2.6,3,math-001
kimi-k2.6,gpt-5.5,claude-opus-4.7,4,math-002
kimi-k2.6,kimi-k2.6,gpt-5.5,3,math-002
kimi-k2.6,claude-opus-4.7,kimi-k2.6,3,math-002
kimi-k2.6,gemini-3.1-pro,gemini-3.1-pro,3,math-002
kimi-k2.6,gemini-3.1-pro,claude-opus-4.7,5,math-003
kimi-k2.6,kimi-k2.6,gpt-5.5,3,math-003
kimi-k2.6,gpt-5.5,gemini-3.1-pro,3,math-003
kimi-k2.6,claude-opus-4.7,kimi-k2.6,3,math-003
kimi-k2.6,gpt-5.5,gpt-5.5,3,logic-001
kimi-k2.6,kimi-k2.6,gemini-3.1-pro,3,logic-001
kimi-k2.6,gemini-3.1-pro,claude-opus-4.7,4,logic-001
kimi-k2.6,claude-opus-4.7,kimi-k2.6,3,logic-001
kimi-k2.6,claude-opus-4.7,claude-opus-4.7,5,logic-002
kimi-k2.6,kimi-k2.6,gpt-5.5,3,logic-002
kimi-k2.6,gemini-3.1-pro,gemini-3.1-pro,3,logic-002
kimi-k2.6,gpt-5.5,kimi-k2.6,3,logic-002
kimi-k2.6,claude-opus-4.7,claude-opus-4.7,5,logic-003
kimi-k2.6,gemini-3.1-pro,gpt-5.5,3,logic-003
kimi-k2.6,gpt-5.5,gemini-3.1-pro,3,logic-003
kimi-k2.6,kimi-k2.6,kimi-k2.6,3,logic-003
kimi-k2.6,kimi-k2.6,gemini-3.1-pro,2,creative-001
kimi-k2.6,gpt-5.5,claude-opus-4.7,4,creative-001
kimi-k2.6,claude-opus-4.7,kimi-k2.6,3,creative-001
kimi-k2.6,gemini-3.1-pro,gpt-5.5,2,creative-001
kimi-k2.6,kimi-k2.6,kimi-k2.6,2,creative-002
kimi-k2.6,gemini-3.1-pro,claude-opus-4.7,2,creative-002
kimi-k2.6,gpt-5.5,gpt-5.5,2,creative-002
kimi-k2.6,claude-opus-4.7,gemini-3.1-pro,2,creative-002
kimi-k2.6,gemini-3.1-pro,claude-opus-4.7,3,creative-003
kimi-k2.6,gpt-5.5,gpt-5.5,3,creative-003
kimi-k2.6,kimi-k2.6,kimi-k2.6,3,creative-003
kimi-k2.6,claude-opus-4.7,gemini-3.1-pro,3,creative-003
kimi-k2.6,kimi-k2.6,kimi-k2.6,3,creative-004
kimi-k2.6,gemini-3.1-pro,gpt-5.5,3,creative-004
kimi-k2.6,gpt-5.5,gemini-3.1-pro,3,creative-004
kimi-k2.6,claude-opus-4.7,claude-opus-4.7,3,creative-004
kimi-k2.6,kimi-k2.6,gemini-3.1-pro,3,explain-001
kimi-k2.6,gpt-5.5,claude-opus-4.7,4,explain-001
kimi-k2.6,claude-opus-4.7,gpt-5.5,3,explain-001
kimi-k2.6,gemini-3.1-pro,kimi-k2.6,3,explain-001
kimi-k2.6,gpt-5.5,gpt-5.5,3,explain-002
kimi-k2.6,gemini-3.1-pro,claude-opus-4.7,4,explain-002
kimi-k2.6,claude-opus-4.7,kimi-k2.6,3,explain-002
kimi-k2.6,kimi-k2.6,gemini-3.1-pro,3,explain-002
kimi-k2.6,kimi-k2.6,gpt-5.5,3,explain-003
kimi-k2.6,gemini-3.1-pro,claude-opus-4.7,4,explain-003
kimi-k2.6,claude-opus-4.7,kimi-k2.6,3,explain-003
kimi-k2.6,gpt-5.5,gemini-3.1-pro,3,explain-003
kimi-k2.6,claude-opus-4.7,claude-opus-4.7,5,ethics-001
kimi-k2.6,kimi-k2.6,gemini-3.1-pro,3,ethics-001
kimi-k2.6,gemini-3.1-pro,gpt-5.5,3,ethics-001
