judge,prompt_id,self_score,baseline_mean,delta
claude,repl-code-001,9.600,9.133,0.467
claude,repl-logic-001,9.400,9.133,0.267
claude,repl-creative-001,10.000,9.733,0.267
claude,repl-ethics-001,9.800,9.467,0.333
claude,repl-science-001,10.000,9.733,0.267
claude,repl-math-001,9.800,9.600,0.200
claude,repl-design-001,10.000,9.467,0.533
claude,repl-philosophy-001,9.200,8.867,0.333
claude,repl-history-001,10.000,8.733,1.267
claude,repl-explain-001,10.000,9.400,0.600
gemini,repl-code-001,5.800,5.733,0.067
gemini,repl-logic-001,8.800,8.267,0.533
gemini,repl-creative-001,9.600,8.867,0.733
gemini,repl-ethics-001,8.000,7.667,0.333
gemini,repl-science-001,9.200,8.800,0.400
gemini,repl-math-001,9.200,9.200,-0.000
gemini,repl-design-001,8.600,8.400,0.200
gemini,repl-philosophy-001,7.200,7.600,-0.400
gemini,repl-history-001,8.800,8.867,-0.067
gemini,repl-explain-001,8.600,8.067,0.533
gpt,repl-code-001,8.000,8.533,-0.533
gpt,repl-logic-001,9.200,8.533,0.667
gpt,repl-creative-001,9.800,9.600,0.200
gpt,repl-ethics-001,8.800,8.400,0.400
gpt,repl-science-001,9.000,8.600,0.400
gpt,repl-math-001,9.000,9.000,0.000
gpt,repl-design-001,8.800,8.200,0.600
gpt,repl-philosophy-001,8.800,8.733,0.067
gpt,repl-history-001,9.200,8.333,0.867
gpt,repl-explain-001,8.800,8.800,0.000
kimi,repl-code-001,5.000,3.133,1.867
kimi,repl-logic-001,3.000,3.667,-0.667
kimi,repl-creative-001,5.800,4.200,1.600
kimi,repl-ethics-001,5.000,5.133,-0.133
kimi,repl-science-001,5.400,4.533,0.867
kimi,repl-math-001,4.600,4.200,0.400
kimi,repl-design-001,5.600,4.933,0.667
kimi,repl-philosophy-001,6.600,6.067,0.533
kimi,repl-history-001,8.400,8.933,-0.533
kimi,repl-explain-001,8.000,7.000,1.000
