judge,original_blind_id,prompt_id,actual_author,self_label_minus_other_labels,kimi_label_minus_non_kimi_labels,displayed_self_score,displayed_kimi_score,all_label_mean
gemini-3.1-pro,r_02f6fe8cd4d5,repl-history-001,gemini-3.1-pro,0.13333333333333286,0.13333333333333286,9.0,9.0,8.9
gemini-3.1-pro,r_108eca5cab12,repl-code-001,gpt-5.5,0.0,0.0,8.8,8.8,8.8
gemini-3.1-pro,r_19a240b4ffbb,repl-creative-001,kimi-k2.6,0.5333333333333332,-0.2666666666666675,5.2,4.6,4.8
gemini-3.1-pro,r_2403dce55808,repl-philosophy-001,kimi-k2.6,-0.1999999999999993,0.5999999999999996,6.2,6.8,6.3500000000000005
gemini-3.1-pro,r_248c75dbece7,repl-code-001,claude-opus-4.7,0.2666666666666657,0.2666666666666675,9.2,9.2,9.0
gemini-3.1-pro,r_28ad403153fd,repl-logic-001,gemini-3.1-pro,1.7763568394002505e-15,-0.2666666666666675,8.8,8.6,8.8
gemini-3.1-pro,r_2e3209ce82e2,repl-math-001,gemini-3.1-pro,0.13333333333333286,-0.13333333333333286,9.2,9.0,9.1
gemini-3.1-pro,r_3025a2b76cf2,repl-design-001,claude-opus-4.7,0.06666666666666643,0.3333333333333339,9.2,9.4,9.15
gemini-3.1-pro,r_30ac01a2c0c5,repl-ethics-001,kimi-k2.6,-0.06666666666666554,-0.06666666666666554,5.4,5.4,5.45
gemini-3.1-pro,r_33d155c09954,repl-explain-001,gpt-5.5,-0.13333333333333286,-0.13333333333333286,8.8,8.8,8.9
gemini-3.1-pro,r_483fb90db65d,repl-math-001,claude-opus-4.7,0.3333333333333339,0.33333333333333215,9.6,9.6,9.350000000000001
gemini-3.1-pro,r_4b6d692d9b1a,repl-math-001,gpt-5.5,0.0,0.0,8.8,8.8,8.8
gemini-3.1-pro,r_4d75360cdde7,repl-philosophy-001,claude-opus-4.7,0.13333333333333286,-0.13333333333333286,8.2,8.0,8.1
gemini-3.1-pro,r_550a5e5ebe8e,repl-design-001,gpt-5.5,-0.3333333333333339,-0.0666666666666682,8.4,8.6,8.65
gemini-3.1-pro,r_5b0172d2f56d,repl-ethics-001,claude-opus-4.7,0.13333333333333286,-0.13333333333333464,9.4,9.2,9.299999999999999
gemini-3.1-pro,r_5f8ab91acdd9,repl-creative-001,gpt-5.5,0.0,0.0,9.8,9.8,9.8
gemini-3.1-pro,r_69be5c458b90,repl-design-001,gemini-3.1-pro,0.3333333333333339,0.3333333333333339,8.8,8.8,8.55
gemini-3.1-pro,r_69d3a1fd4d60,repl-science-001,kimi-k2.6,0.1999999999999993,-0.33333333333333304,4.8,4.4,4.65
gemini-3.1-pro,r_6a2aa2760e65,repl-code-001,kimi-k2.6,0.5333333333333337,-0.26666666666666705,3.6,3.0,3.2
gemini-3.1-pro,r_7375f926bb45,repl-logic-001,kimi-k2.6,0.20000000000000018,0.20000000000000018,3.2,3.2,3.05
gemini-3.1-pro,r_802642764e88,repl-science-001,claude-opus-4.7,-0.06666666666666643,-0.06666666666666643,9.6,9.6,9.649999999999999
gemini-3.1-pro,r_8271a77c5d0c,repl-design-001,kimi-k2.6,-0.13333333333333375,-0.13333333333333375,4.8,4.8,4.9
gemini-3.1-pro,r_8a4e05842950,repl-ethics-001,gpt-5.5,-0.06666666666666643,0.1999999999999993,8.8,9.0,8.850000000000001
gemini-3.1-pro,r_8b1825725931,repl-history-001,gpt-5.5,0.0,-1.7763568394002505e-15,9.2,9.2,9.2
gemini-3.1-pro,r_8f73df74fe01,repl-code-001,gemini-3.1-pro,0.33333333333333304,0.33333333333333304,6.0,6.0,5.75
gemini-3.1-pro,r_8fd92bc47c2a,repl-history-001,kimi-k2.6,1.7763568394002505e-15,0.2666666666666675,9.0,9.2,9.0
gemini-3.1-pro,r_90f333a41b1c,repl-explain-001,claude-opus-4.7,0.3999999999999986,-0.40000000000000036,9.6,9.0,9.3
gemini-3.1-pro,r_913799f74888,repl-math-001,kimi-k2.6,0.13333333333333286,-0.13333333333333375,4.0,3.8,3.9000000000000004
gemini-3.1-pro,r_943b2f5e6dbb,repl-ethics-001,gemini-3.1-pro,0.06666666666666643,-0.20000000000000018,8.0,7.8,7.95
gemini-3.1-pro,r_9796b98ee343,repl-explain-001,gemini-3.1-pro,-0.3333333333333339,0.20000000000000107,8.2,8.6,8.45
gemini-3.1-pro,r_a24c04c157cd,repl-logic-001,gpt-5.5,-0.06666666666666643,-0.06666666666666643,9.0,9.0,9.05
gemini-3.1-pro,r_b143f527dc2c,repl-logic-001,claude-opus-4.7,0.13333333333333286,0.13333333333333286,9.2,9.2,9.1
gemini-3.1-pro,r_b3c9de2b398c,repl-philosophy-001,gpt-5.5,-0.20000000000000107,0.06666666666666643,8.6,8.8,8.75
gemini-3.1-pro,r_b71d7eb4a4d4,repl-history-001,claude-opus-4.7,0.1999999999999993,-0.06666666666666643,8.2,8.0,8.05
gemini-3.1-pro,r_c4a2311db525,repl-creative-001,gemini-3.1-pro,0.13333333333333286,-0.40000000000000036,9.6,9.2,9.5
gemini-3.1-pro,r_c65625d999f3,repl-science-001,gpt-5.5,-0.06666666666666643,-0.06666666666666643,9.4,9.4,9.45
gemini-3.1-pro,r_d072c6337d8c,repl-creative-001,claude-opus-4.7,-0.13333333333333464,-0.13333333333333286,9.6,9.6,9.7
gemini-3.1-pro,r_e9da747fa09f,repl-philosophy-001,gemini-3.1-pro,0.0,0.5333333333333332,7.0,7.4,7.0
gemini-3.1-pro,r_efc98d3f8186,repl-explain-001,kimi-k2.6,0.39999999999999947,-0.39999999999999947,7.6,7.0,7.3
gemini-3.1-pro,r_f5188fc68d45,repl-science-001,gemini-3.1-pro,0.13333333333333286,-0.13333333333333464,9.4,9.2,9.3
