condition,prompt_id,category,author,judge,composite,peer_consensus,signed_vs_peer_consensus,abs_vs_peer_consensus
c3,repl-history-001,history,claude-opus-4.7,gemini-3.1-pro,7.2,9.333333333333334,-2.1333333333333337,2.1333333333333337
c1,repl-code-001,coding,kimi-k2.6,kimi-k2.6,5.0,3.1333333333333333,1.8666666666666667,1.8666666666666667
c1,repl-philosophy-001,philosophy,gemini-3.1-pro,kimi-k2.6,8.8,7.066666666666666,1.7333333333333343,1.7333333333333343
c3,repl-code-001,coding,gemini-3.1-pro,gpt-5.5,4.6,6.333333333333333,-1.7333333333333334,1.7333333333333334
c3,repl-code-001,coding,kimi-k2.6,kimi-k2.6,5.0,3.3333333333333335,1.6666666666666665,1.6666666666666665
c3,repl-philosophy-001,philosophy,gemini-3.1-pro,claude-opus-4.7,6.6,8.266666666666666,-1.666666666666666,1.666666666666666
c1,repl-creative-001,creative,kimi-k2.6,kimi-k2.6,5.8,4.199999999999999,1.6000000000000005,1.6000000000000005
c3,repl-history-001,history,claude-opus-4.7,claude-opus-4.7,10.0,8.4,1.5999999999999996,1.5999999999999996
c1,repl-code-001,coding,gemini-3.1-pro,gpt-5.5,4.6,6.133333333333333,-1.5333333333333332,1.5333333333333332
c3,repl-creative-001,creative,kimi-k2.6,kimi-k2.6,5.8,4.333333333333333,1.4666666666666668,1.4666666666666668
c1,repl-code-001,coding,kimi-k2.6,gemini-3.1-pro,2.6,3.9333333333333336,-1.3333333333333335,1.3333333333333335
c3,repl-design-001,design,gpt-5.5,kimi-k2.6,7.4,8.66666666666667,-1.2666666666666693,1.2666666666666693
c1,repl-design-001,design,gpt-5.5,kimi-k2.6,7.4,8.66666666666667,-1.2666666666666693,1.2666666666666693
c3,repl-philosophy-001,philosophy,gemini-3.1-pro,kimi-k2.6,8.8,7.533333333333332,1.2666666666666684,1.2666666666666684
c1,repl-science-001,science,kimi-k2.6,claude-opus-4.7,3.8,5.066666666666666,-1.2666666666666666,1.2666666666666666
c1,repl-philosophy-001,philosophy,claude-opus-4.7,gemini-3.1-pro,8.0,9.266666666666666,-1.2666666666666657,1.2666666666666657
c1,repl-history-001,history,claude-opus-4.7,claude-opus-4.7,10.0,8.733333333333334,1.2666666666666657,1.2666666666666657
c3,repl-philosophy-001,philosophy,claude-opus-4.7,gemini-3.1-pro,8.0,9.266666666666666,-1.2666666666666657,1.2666666666666657
c1,repl-philosophy-001,philosophy,gemini-3.1-pro,claude-opus-4.7,6.6,7.8,-1.2000000000000002,1.2000000000000002
c3,repl-creative-001,creative,kimi-k2.6,claude-opus-4.7,3.8,5.0,-1.2000000000000002,1.2000000000000002
