paraphraser_model,author_model,prompt_id
claude-opus-4.7,gemini-3.1-pro,repl-code-001
claude-opus-4.7,gemini-3.1-pro,repl-logic-001
claude-opus-4.7,gemini-3.1-pro,repl-creative-001
claude-opus-4.7,gemini-3.1-pro,repl-ethics-001
claude-opus-4.7,gpt-5.5,repl-science-001
claude-opus-4.7,gpt-5.5,repl-math-001
claude-opus-4.7,gpt-5.5,repl-design-001
claude-opus-4.7,kimi-k2.6,repl-philosophy-001
claude-opus-4.7,kimi-k2.6,repl-history-001
claude-opus-4.7,kimi-k2.6,repl-explain-001
gemini-3.1-pro,claude-opus-4.7,repl-code-001
gemini-3.1-pro,claude-opus-4.7,repl-logic-001
gemini-3.1-pro,claude-opus-4.7,repl-creative-001
gemini-3.1-pro,claude-opus-4.7,repl-ethics-001
gemini-3.1-pro,gpt-5.5,repl-science-001
gemini-3.1-pro,gpt-5.5,repl-math-001
gemini-3.1-pro,gpt-5.5,repl-design-001
gemini-3.1-pro,kimi-k2.6,repl-philosophy-001
gemini-3.1-pro,kimi-k2.6,repl-history-001
gemini-3.1-pro,kimi-k2.6,repl-explain-001
gpt-5.5,claude-opus-4.7,repl-code-001
gpt-5.5,claude-opus-4.7,repl-logic-001
gpt-5.5,claude-opus-4.7,repl-creative-001
gpt-5.5,claude-opus-4.7,repl-ethics-001
gpt-5.5,gemini-3.1-pro,repl-science-001
gpt-5.5,gemini-3.1-pro,repl-math-001
gpt-5.5,gemini-3.1-pro,repl-design-001
gpt-5.5,kimi-k2.6,repl-philosophy-001
gpt-5.5,kimi-k2.6,repl-history-001
gpt-5.5,kimi-k2.6,repl-explain-001
kimi-k2.6,claude-opus-4.7,repl-code-001
kimi-k2.6,claude-opus-4.7,repl-logic-001
kimi-k2.6,claude-opus-4.7,repl-creative-001
kimi-k2.6,claude-opus-4.7,repl-ethics-001
kimi-k2.6,gemini-3.1-pro,repl-science-001
kimi-k2.6,gemini-3.1-pro,repl-math-001
kimi-k2.6,gemini-3.1-pro,repl-design-001
kimi-k2.6,gpt-5.5,repl-philosophy-001
kimi-k2.6,gpt-5.5,repl-history-001
kimi-k2.6,gpt-5.5,repl-explain-001
