judge,author,prompt_id,category,condition,correctness,completeness,clarity,creativity,constraint_adherence,composite,predicted_author,confidence,author_is_self,predicted_self,correct_recognition
claude-opus-4.7,claude-opus-4.7,code-001,coding,c1,10,10,9,7,10,9.2,gemini-3.1-pro,3,1,0,0
claude-opus-4.7,kimi-k2.6,code-001,coding,c1,10,9,9,6,9,8.6,claude-opus-4.7,4,0,1,0
claude-opus-4.7,gemini-3.1-pro,code-001,coding,c1,9,7,8,5,7,7.2,kimi-k2.6,3,0,0,0
claude-opus-4.7,gpt-5.5,code-001,coding,c1,10,9,9,7,10,9.0,gpt-5.5,3,0,0,1
claude-opus-4.7,gpt-5.5,code-002,coding,c1,10,9,9,7,9,8.8,gpt-5.5,3,0,0,1
claude-opus-4.7,claude-opus-4.7,code-002,coding,c1,10,10,10,9,10,9.8,gemini-3.1-pro,3,1,0,0
claude-opus-4.7,kimi-k2.6,code-002,coding,c1,10,9,8,6,9,8.4,claude-opus-4.7,3,0,1,0
claude-opus-4.7,gemini-3.1-pro,code-002,coding,c1,9,7,7,5,8,7.2,kimi-k2.6,3,0,0,0
claude-opus-4.7,claude-opus-4.7,code-003,coding,c1,10,10,10,8,10,9.6,gemini-3.1-pro,3,1,0,0
claude-opus-4.7,gpt-5.5,code-003,coding,c1,10,9,9,7,9,8.8,gpt-5.5,3,0,0,1
claude-opus-4.7,gemini-3.1-pro,code-003,coding,c1,10,8,8,6,9,8.2,kimi-k2.6,3,0,0,0
claude-opus-4.7,kimi-k2.6,code-003,coding,c1,5,7,7,5,7,6.2,claude-opus-4.7,3,0,1,0
claude-opus-4.7,claude-opus-4.7,code-004,coding,c1,10,10,10,8,10,9.6,gemini-3.1-pro,4,1,0,0
claude-opus-4.7,kimi-k2.6,code-004,coding,c1,10,9,8,6,9,8.4,claude-opus-4.7,5,0,1,0
claude-opus-4.7,gemini-3.1-pro,code-004,coding,c1,9,7,7,5,7,7.0,kimi-k2.6,4,0,0,0
claude-opus-4.7,gpt-5.5,code-004,coding,c1,10,9,9,7,9,8.8,gpt-5.5,3,0,0,1
claude-opus-4.7,kimi-k2.6,code-005,coding,c1,10,9,9,6,9,8.6,claude-opus-4.7,3,0,1,0
claude-opus-4.7,gemini-3.1-pro,code-005,coding,c1,10,8,8,5,8,7.8,kimi-k2.6,3,0,0,0
claude-opus-4.7,gpt-5.5,code-005,coding,c1,10,9,9,7,9,8.8,gpt-5.5,3,0,0,1
claude-opus-4.7,claude-opus-4.7,code-005,coding,c1,10,10,10,8,10,9.6,gemini-3.1-pro,4,1,0,0
claude-opus-4.7,gemini-3.1-pro,math-001,reasoning,c1,10,9,7,5,9,8.0,gemini-3.1-pro,3,0,0,1
claude-opus-4.7,claude-opus-4.7,math-001,reasoning,c1,10,10,10,9,10,9.8,claude-opus-4.7,3,1,1,1
claude-opus-4.7,gpt-5.5,math-001,reasoning,c1,10,9,9,7,9,8.8,gpt-5.5,3,0,0,1
claude-opus-4.7,kimi-k2.6,math-001,reasoning,c1,10,8,9,6,8,8.2,kimi-k2.6,2,0,0,1
claude-opus-4.7,kimi-k2.6,math-002,reasoning,c1,10,9,9,7,9,8.8,kimi-k2.6,2,0,0,1
claude-opus-4.7,gpt-5.5,math-002,reasoning,c1,10,9,9,6,9,8.6,gpt-5.5,3,0,0,1
claude-opus-4.7,claude-opus-4.7,math-002,reasoning,c1,10,10,10,9,10,9.8,claude-opus-4.7,4,1,1,1
claude-opus-4.7,gemini-3.1-pro,math-002,reasoning,c1,10,9,8,7,9,8.6,gemini-3.1-pro,3,0,0,1
claude-opus-4.7,kimi-k2.6,math-003,reasoning,c1,10,9,9,7,9,8.8,gpt-5.5,3,0,0,0
claude-opus-4.7,gemini-3.1-pro,math-003,reasoning,c1,8,8,6,5,7,6.8,gemini-3.1-pro,3,0,0,1
claude-opus-4.7,gpt-5.5,math-003,reasoning,c1,10,10,9,8,10,9.4,kimi-k2.6,2,0,0,0
claude-opus-4.7,claude-opus-4.7,math-003,reasoning,c1,10,10,10,10,10,10.0,claude-opus-4.7,5,1,1,1
claude-opus-4.7,gpt-5.5,logic-001,reasoning,c1,10,9,9,8,9,9.0,gpt-5.5,3,0,0,1
claude-opus-4.7,gemini-3.1-pro,logic-001,reasoning,c1,10,9,8,6,9,8.4,kimi-k2.6,2,0,0,0
claude-opus-4.7,claude-opus-4.7,logic-001,reasoning,c1,10,10,10,9,10,9.8,gemini-3.1-pro,3,1,0,0
claude-opus-4.7,kimi-k2.6,logic-001,reasoning,c1,10,8,9,6,9,8.4,claude-opus-4.7,3,0,1,0
claude-opus-4.7,kimi-k2.6,logic-002,reasoning,c1,9,8,9,7,8,8.2,kimi-k2.6,2,0,0,1
claude-opus-4.7,gemini-3.1-pro,logic-002,reasoning,c1,9,8,9,6,9,8.2,gemini-3.1-pro,4,0,0,1
claude-opus-4.7,gpt-5.5,logic-002,reasoning,c1,10,10,10,8,10,9.6,gpt-5.5,3,0,0,1
claude-opus-4.7,claude-opus-4.7,logic-002,reasoning,c1,10,10,10,9,10,9.8,claude-opus-4.7,4,1,1,1
claude-opus-4.7,claude-opus-4.7,logic-003,reasoning,c1,10,10,10,9,10,9.8,claude-opus-4.7,4,1,1,1
claude-opus-4.7,gemini-3.1-pro,logic-003,reasoning,c1,9,9,9,7,9,8.6,gemini-3.1-pro,3,0,0,1
claude-opus-4.7,gpt-5.5,logic-003,reasoning,c1,9,8,8,7,8,8.0,gpt-5.5,3,0,0,1
claude-opus-4.7,kimi-k2.6,logic-003,reasoning,c1,9,7,8,6,8,7.6,kimi-k2.6,2,0,0,1
claude-opus-4.7,claude-opus-4.7,creative-001,creative,c1,9,9,9,9,10,9.2,claude-opus-4.7,5,1,1,1
claude-opus-4.7,gpt-5.5,creative-001,creative,c1,10,10,9,10,10,9.8,gpt-5.5,3,0,0,1
claude-opus-4.7,kimi-k2.6,creative-001,creative,c1,7,8,8,8,3,6.8,kimi-k2.6,3,0,0,1
claude-opus-4.7,gemini-3.1-pro,creative-001,creative,c1,9,9,9,8,10,9.0,gemini-3.1-pro,3,0,0,1
claude-opus-4.7,claude-opus-4.7,creative-002,creative,c1,8,9,9,8,6,8.0,claude-opus-4.7,3,1,1,1
claude-opus-4.7,gpt-5.5,creative-002,creative,c1,10,10,9,9,10,9.6,gpt-5.5,3,0,0,1
claude-opus-4.7,gemini-3.1-pro,creative-002,creative,c1,10,9,9,8,9,9.0,gemini-3.1-pro,3,0,0,1
claude-opus-4.7,kimi-k2.6,creative-002,creative,c1,1,1,7,6,1,3.2,kimi-k2.6,5,0,0,1
claude-opus-4.7,claude-opus-4.7,creative-003,creative,c1,10,10,10,10,10,10.0,claude-opus-4.7,3,1,1,1
claude-opus-4.7,kimi-k2.6,creative-003,creative,c1,1,1,8,7,1,3.6,kimi-k2.6,5,0,0,1
claude-opus-4.7,gemini-3.1-pro,creative-003,creative,c1,9,8,9,7,8,8.2,gemini-3.1-pro,3,0,0,1
claude-opus-4.7,gpt-5.5,creative-003,creative,c1,10,10,10,10,9,9.8,gpt-5.5,3,0,0,1
claude-opus-4.7,kimi-k2.6,creative-004,creative,c1,1,1,7,7,1,3.4,kimi-k2.6,5,0,0,1
claude-opus-4.7,gpt-5.5,creative-004,creative,c1,10,10,10,9,10,9.8,gpt-5.5,3,0,0,1
claude-opus-4.7,gemini-3.1-pro,creative-004,creative,c1,9,9,9,9,7,8.6,gemini-3.1-pro,3,0,0,1
claude-opus-4.7,claude-opus-4.7,creative-004,creative,c1,10,10,10,10,10,10.0,claude-opus-4.7,3,1,1,1
claude-opus-4.7,kimi-k2.6,explain-001,explanation,c1,1,1,8,5,1,3.2,kimi-k2.6,5,0,0,1
claude-opus-4.7,claude-opus-4.7,explain-001,explanation,c1,10,10,10,9,10,9.8,claude-opus-4.7,4,1,1,1
claude-opus-4.7,gemini-3.1-pro,explain-001,explanation,c1,10,9,10,8,10,9.4,gemini-3.1-pro,4,0,0,1
claude-opus-4.7,gpt-5.5,explain-001,explanation,c1,10,9,9,8,10,9.2,gpt-5.5,3,0,0,1
claude-opus-4.7,kimi-k2.6,explain-002,explanation,c1,1,1,8,5,1,3.2,kimi-k2.6,5,0,0,1
claude-opus-4.7,gpt-5.5,explain-002,explanation,c1,10,10,9,8,10,9.4,gpt-5.5,3,0,0,1
claude-opus-4.7,gemini-3.1-pro,explain-002,explanation,c1,10,9,9,8,10,9.2,gemini-3.1-pro,4,0,0,1
claude-opus-4.7,claude-opus-4.7,explain-002,explanation,c1,10,10,10,10,10,10.0,claude-opus-4.7,5,1,1,1
claude-opus-4.7,kimi-k2.6,explain-003,explanation,c1,1,1,8,5,1,3.2,kimi-k2.6,5,0,0,1
claude-opus-4.7,gemini-3.1-pro,explain-003,explanation,c1,10,9,9,7,9,8.8,gemini-3.1-pro,3,0,0,1
claude-opus-4.7,gpt-5.5,explain-003,explanation,c1,10,9,9,7,9,8.8,gpt-5.5,3,0,0,1
claude-opus-4.7,claude-opus-4.7,explain-003,explanation,c1,10,10,10,10,10,10.0,claude-opus-4.7,5,1,1,1
claude-opus-4.7,claude-opus-4.7,ethics-001,ethics,c1,10,10,10,9,10,9.8,claude-opus-4.7,4,1,1,1
claude-opus-4.7,gemini-3.1-pro,ethics-001,ethics,c1,10,9,9,7,9,8.8,gemini-3.1-pro,3,0,0,1
claude-opus-4.7,gpt-5.5,ethics-001,ethics,c1,10,10,9,8,10,9.4,gpt-5.5,3,0,0,1
claude-opus-4.7,kimi-k2.6,ethics-001,ethics,c1,1,1,8,6,1,3.4,kimi-k2.6,5,0,0,1
