judge,prompt_id,actual_author,dim,self,other,delta,baseline
claude,repl-philosophy-001,gemini-3.1-pro,correctness,9.0,10.0,-1,10
claude,repl-philosophy-001,gemini-3.1-pro,completeness,9.0,10.0,-1,10
claude,repl-philosophy-001,gemini-3.1-pro,clarity,9.0,10.0,-1,10
claude,repl-philosophy-001,gemini-3.1-pro,creativity,7.0,7.0,+0,7
claude,repl-philosophy-001,gemini-3.1-pro,constraint_adherence,6.0,10.0,-4,10
claude,repl-ethics-001,gemini-3.1-pro,correctness,9.0,9.0,+0,9
claude,repl-ethics-001,gemini-3.1-pro,completeness,8.0,8.0,+0,8
claude,repl-ethics-001,gemini-3.1-pro,clarity,9.0,9.0,+0,9
claude,repl-ethics-001,gemini-3.1-pro,creativity,7.0,6.0,+1,6
claude,repl-ethics-001,gemini-3.1-pro,constraint_adherence,9.0,9.0,+0,9
claude,repl-logic-001,kimi-k2.6,correctness,8.0,4.0,+4,4
claude,repl-logic-001,kimi-k2.6,completeness,4.0,3.0,+1,3
claude,repl-logic-001,kimi-k2.6,clarity,9.0,7.0,+2,7
claude,repl-logic-001,kimi-k2.6,creativity,5.0,3.0,+2,3
claude,repl-logic-001,kimi-k2.6,constraint_adherence,3.0,3.0,+0,3
claude,repl-history-001,gpt-5.5,correctness,9.0,9.0,+0,9
claude,repl-history-001,gpt-5.5,completeness,9.0,9.0,+0,9
claude,repl-history-001,gpt-5.5,clarity,9.0,9.0,+0,9
claude,repl-history-001,gpt-5.5,creativity,7.0,7.0,+0,7
claude,repl-history-001,gpt-5.5,constraint_adherence,10.0,10.0,+0,10
claude,repl-history-001,kimi-k2.6,correctness,9.0,10.0,-1,10
claude,repl-history-001,kimi-k2.6,completeness,9.0,10.0,-1,10
claude,repl-history-001,kimi-k2.6,clarity,9.0,10.0,-1,10
claude,repl-history-001,kimi-k2.6,creativity,8.0,9.0,-1,9
claude,repl-history-001,kimi-k2.6,constraint_adherence,10.0,10.0,+0,10
claude,repl-code-001,gemini-3.1-pro,correctness,7.0,7.0,+0,7
claude,repl-code-001,gemini-3.1-pro,completeness,5.0,6.0,-1,6
claude,repl-code-001,gemini-3.1-pro,clarity,8.0,7.0,+1,7
claude,repl-code-001,gemini-3.1-pro,creativity,6.0,5.0,+1,5
claude,repl-code-001,gemini-3.1-pro,constraint_adherence,6.0,5.0,+1,5
claude,repl-explain-001,gemini-3.1-pro,correctness,9.0,9.0,+0,9
claude,repl-explain-001,gemini-3.1-pro,completeness,8.0,8.0,+0,8
claude,repl-explain-001,gemini-3.1-pro,clarity,9.0,9.0,+0,9
claude,repl-explain-001,gemini-3.1-pro,creativity,6.0,6.0,+0,6
claude,repl-explain-001,gemini-3.1-pro,constraint_adherence,10.0,9.0,+1,9
claude,repl-creative-001,gpt-5.5,correctness,10.0,10.0,+0,10
claude,repl-creative-001,gpt-5.5,completeness,10.0,10.0,+0,10
claude,repl-creative-001,gpt-5.5,clarity,10.0,9.0,+1,9
claude,repl-creative-001,gpt-5.5,creativity,10.0,10.0,+0,10
claude,repl-creative-001,gpt-5.5,constraint_adherence,10.0,10.0,+0,10
claude,repl-code-001,gpt-5.5,correctness,10.0,9.0,+1,9
claude,repl-code-001,gpt-5.5,completeness,10.0,8.0,+2,8
