judge,true_author,predicted_author,confidence,prompt_id
gemini-3.1-pro,kimi-k2.6,gemini-3.1-pro,3,code-001
gemini-3.1-pro,gemini-3.1-pro,gemini-3.1-pro,3,code-001
gemini-3.1-pro,gpt-5.5,gemini-3.1-pro,3,code-001
gemini-3.1-pro,claude-opus-4.7,gemini-3.1-pro,3,code-001
gemini-3.1-pro,kimi-k2.6,gemini-3.1-pro,3,code-002
gemini-3.1-pro,gpt-5.5,gemini-3.1-pro,3,code-002
gemini-3.1-pro,gemini-3.1-pro,gemini-3.1-pro,3,code-002
gemini-3.1-pro,claude-opus-4.7,gemini-3.1-pro,3,code-002
gemini-3.1-pro,gpt-5.5,gemini-3.1-pro,3,code-003
gemini-3.1-pro,claude-opus-4.7,gemini-3.1-pro,3,code-003
gemini-3.1-pro,gemini-3.1-pro,gemini-3.1-pro,3,code-003
gemini-3.1-pro,kimi-k2.6,gemini-3.1-pro,3,code-003
gemini-3.1-pro,gemini-3.1-pro,gemini-3.1-pro,3,code-004
gemini-3.1-pro,kimi-k2.6,gemini-3.1-pro,3,code-004
gemini-3.1-pro,gpt-5.5,gemini-3.1-pro,3,code-004
gemini-3.1-pro,claude-opus-4.7,gemini-3.1-pro,3,code-004
gemini-3.1-pro,kimi-k2.6,gemini-3.1-pro,3,code-005
gemini-3.1-pro,claude-opus-4.7,gemini-3.1-pro,3,code-005
gemini-3.1-pro,gpt-5.5,gemini-3.1-pro,3,code-005
gemini-3.1-pro,gemini-3.1-pro,gemini-3.1-pro,3,code-005
gemini-3.1-pro,claude-opus-4.7,gemini-3.1-pro,3,math-001
gemini-3.1-pro,gemini-3.1-pro,gemini-3.1-pro,3,math-001
gemini-3.1-pro,kimi-k2.6,gemini-3.1-pro,3,math-001
gemini-3.1-pro,gpt-5.5,gemini-3.1-pro,3,math-001
gemini-3.1-pro,gemini-3.1-pro,gemini-3.1-pro,3,math-002
gemini-3.1-pro,gpt-5.5,gemini-3.1-pro,3,math-002
gemini-3.1-pro,claude-opus-4.7,gemini-3.1-pro,3,math-002
gemini-3.1-pro,kimi-k2.6,gemini-3.1-pro,3,math-002
gemini-3.1-pro,gpt-5.5,gemini-3.1-pro,3,math-003
gemini-3.1-pro,claude-opus-4.7,gemini-3.1-pro,3,math-003
gemini-3.1-pro,kimi-k2.6,gemini-3.1-pro,3,math-003
gemini-3.1-pro,gemini-3.1-pro,gemini-3.1-pro,3,math-003
gemini-3.1-pro,claude-opus-4.7,claude-opus-4.7,3,logic-001
gemini-3.1-pro,gpt-5.5,gemini-3.1-pro,3,logic-001
gemini-3.1-pro,kimi-k2.6,gemini-3.1-pro,3,logic-001
gemini-3.1-pro,gemini-3.1-pro,gemini-3.1-pro,3,logic-001
gemini-3.1-pro,kimi-k2.6,gemini-3.1-pro,3,logic-002
gemini-3.1-pro,claude-opus-4.7,gpt-5.5,3,logic-002
gemini-3.1-pro,gpt-5.5,gemini-3.1-pro,3,logic-002
gemini-3.1-pro,gemini-3.1-pro,gemini-3.1-pro,3,logic-002
gemini-3.1-pro,gemini-3.1-pro,gemini-3.1-pro,3,logic-003
gemini-3.1-pro,gpt-5.5,gemini-3.1-pro,3,logic-003
gemini-3.1-pro,kimi-k2.6,gemini-3.1-pro,3,logic-003
gemini-3.1-pro,claude-opus-4.7,gemini-3.1-pro,3,logic-003
gemini-3.1-pro,gpt-5.5,gemini-3.1-pro,3,creative-001
gemini-3.1-pro,gemini-3.1-pro,gemini-3.1-pro,3,creative-001
gemini-3.1-pro,kimi-k2.6,gemini-3.1-pro,3,creative-001
gemini-3.1-pro,claude-opus-4.7,gemini-3.1-pro,3,creative-001
gemini-3.1-pro,gemini-3.1-pro,gemini-3.1-pro,3,creative-002
gemini-3.1-pro,claude-opus-4.7,gemini-3.1-pro,3,creative-002
gemini-3.1-pro,kimi-k2.6,gemini-3.1-pro,3,creative-002
gemini-3.1-pro,gpt-5.5,gemini-3.1-pro,3,creative-002
gemini-3.1-pro,gpt-5.5,gemini-3.1-pro,3,creative-003
gemini-3.1-pro,kimi-k2.6,gemini-3.1-pro,3,creative-003
gemini-3.1-pro,gemini-3.1-pro,gpt-5.5,3,creative-003
gemini-3.1-pro,claude-opus-4.7,gpt-5.5,3,creative-003
gemini-3.1-pro,gpt-5.5,gemini-3.1-pro,3,creative-004
gemini-3.1-pro,kimi-k2.6,gemini-3.1-pro,3,creative-004
gemini-3.1-pro,gemini-3.1-pro,gemini-3.1-pro,3,creative-004
gemini-3.1-pro,claude-opus-4.7,gemini-3.1-pro,3,creative-004
gemini-3.1-pro,gemini-3.1-pro,gemini-3.1-pro,3,explain-001
gemini-3.1-pro,claude-opus-4.7,gemini-3.1-pro,3,explain-001
gemini-3.1-pro,kimi-k2.6,gemini-3.1-pro,3,explain-001
gemini-3.1-pro,gpt-5.5,gemini-3.1-pro,3,explain-001
gemini-3.1-pro,gemini-3.1-pro,gpt-5.5,3,explain-002
gemini-3.1-pro,kimi-k2.6,gemini-3.1-pro,3,explain-002
gemini-3.1-pro,gpt-5.5,gemini-3.1-pro,3,explain-002
gemini-3.1-pro,claude-opus-4.7,gpt-5.5,3,explain-002
gemini-3.1-pro,gemini-3.1-pro,gpt-5.5,3,explain-003
gemini-3.1-pro,gpt-5.5,gemini-3.1-pro,3,explain-003
gemini-3.1-pro,claude-opus-4.7,gemini-3.1-pro,3,explain-003
gemini-3.1-pro,kimi-k2.6,gemini-3.1-pro,3,explain-003
gemini-3.1-pro,claude-opus-4.7,gemini-3.1-pro,3,ethics-001
gemini-3.1-pro,kimi-k2.6,gemini-3.1-pro,3,ethics-001
gemini-3.1-pro,gemini-3.1-pro,gemini-3.1-pro,3,ethics-001
gemini-3.1-pro,gpt-5.5,gemini-3.1-pro,3,ethics-001
gemini-3.1-pro,kimi-k2.6,gemini-3.1-pro,3,ethics-002
gemini-3.1-pro,claude-opus-4.7,gemini-3.1-pro,3,ethics-002
gemini-3.1-pro,gpt-5.5,gemini-3.1-pro,3,ethics-002
gemini-3.1-pro,gemini-3.1-pro,gemini-3.1-pro,3,ethics-002
gemini-3.1-pro,gemini-3.1-pro,gemini-3.1-pro,3,design-001
gemini-3.1-pro,kimi-k2.6,gemini-3.1-pro,3,design-001
gemini-3.1-pro,gpt-5.5,gemini-3.1-pro,3,design-001
gemini-3.1-pro,claude-opus-4.7,gemini-3.1-pro,3,design-001
gemini-3.1-pro,gemini-3.1-pro,gemini-3.1-pro,3,design-002
gemini-3.1-pro,gpt-5.5,gemini-3.1-pro,3,design-002
gemini-3.1-pro,claude-opus-4.7,gemini-3.1-pro,3,design-002
gemini-3.1-pro,kimi-k2.6,gemini-3.1-pro,3,design-002
gemini-3.1-pro,gpt-5.5,gemini-3.1-pro,3,translate-001
gemini-3.1-pro,gemini-3.1-pro,gemini-3.1-pro,3,translate-001
gemini-3.1-pro,claude-opus-4.7,gemini-3.1-pro,3,translate-001
gemini-3.1-pro,kimi-k2.6,gemini-3.1-pro,3,translate-001
gemini-3.1-pro,claude-opus-4.7,gemini-3.1-pro,3,translate-002
gemini-3.1-pro,kimi-k2.6,gpt-5.5,3,translate-002
gemini-3.1-pro,gemini-3.1-pro,gemini-3.1-pro,3,translate-002
gemini-3.1-pro,gpt-5.5,gemini-3.1-pro,3,translate-002
gemini-3.1-pro,claude-opus-4.7,gpt-5.5,3,science-001
gemini-3.1-pro,gemini-3.1-pro,gemini-3.1-pro,3,science-001
gemini-3.1-pro,kimi-k2.6,gemini-3.1-pro,3,science-001
gemini-3.1-pro,gpt-5.5,gemini-3.1-pro,3,science-001
gemini-3.1-pro,gemini-3.1-pro,gemini-3.1-pro,3,science-002
gemini-3.1-pro,gpt-5.5,gemini-3.1-pro,3,science-002
gemini-3.1-pro,claude-opus-4.7,gpt-5.5,3,science-002
gemini-3.1-pro,kimi-k2.6,gpt-5.5,3,science-002
gemini-3.1-pro,kimi-k2.6,gemini-3.1-pro,3,history-001
gemini-3.1-pro,claude-opus-4.7,gemini-3.1-pro,3,history-001
gemini-3.1-pro,gpt-5.5,gemini-3.1-pro,3,history-001
gemini-3.1-pro,gemini-3.1-pro,gemini-3.1-pro,3,history-001
