judge,displayed_label,dim,n,residual_mean,ci_lo,ci_hi
claude-opus-4.7,claude-opus-4.7,correctness,20,+0.075,-0.100,+0.300
claude-opus-4.7,claude-opus-4.7,completeness,20,+0.100,-0.050,+0.275
claude-opus-4.7,claude-opus-4.7,clarity,20,+0.075,-0.075,+0.225
claude-opus-4.7,claude-opus-4.7,creativity,20,+0.150,-0.050,+0.350
claude-opus-4.7,claude-opus-4.7,constraint_adherence,20,+0.050,-0.200,+0.250
claude-opus-4.7,gemini-3.1-pro,correctness,20,+0.025,-0.100,+0.175
claude-opus-4.7,gemini-3.1-pro,completeness,20,-0.075,-0.225,+0.100
claude-opus-4.7,gemini-3.1-pro,clarity,20,-0.025,-0.175,+0.125
claude-opus-4.7,gemini-3.1-pro,creativity,20,-0.075,-0.225,+0.100
claude-opus-4.7,gemini-3.1-pro,constraint_adherence,20,+0.050,-0.150,+0.250
claude-opus-4.7,gpt-5.5,correctness,20,+0.000,-0.150,+0.175
claude-opus-4.7,gpt-5.5,completeness,20,+0.000,-0.150,+0.150
claude-opus-4.7,gpt-5.5,clarity,20,+0.025,-0.125,+0.175
claude-opus-4.7,gpt-5.5,creativity,20,-0.075,-0.275,+0.125
claude-opus-4.7,gpt-5.5,constraint_adherence,20,-0.250,-0.425,-0.075
claude-opus-4.7,kimi-k2.6,correctness,20,-0.100,-0.400,+0.150
claude-opus-4.7,kimi-k2.6,completeness,20,-0.025,-0.175,+0.100
claude-opus-4.7,kimi-k2.6,clarity,20,-0.075,-0.225,+0.075
claude-opus-4.7,kimi-k2.6,creativity,20,+0.000,-0.200,+0.200
claude-opus-4.7,kimi-k2.6,constraint_adherence,20,+0.150,-0.100,+0.425
gemini-3.1-pro,claude-opus-4.7,correctness,20,+0.075,-0.100,+0.275
gemini-3.1-pro,claude-opus-4.7,completeness,20,-0.025,-0.225,+0.175
gemini-3.1-pro,claude-opus-4.7,clarity,20,-0.075,-0.175,+0.025
gemini-3.1-pro,claude-opus-4.7,creativity,20,+0.075,-0.100,+0.275
gemini-3.1-pro,claude-opus-4.7,constraint_adherence,20,+0.125,-0.025,+0.300
gemini-3.1-pro,gemini-3.1-pro,correctness,20,+0.250,+0.050,+0.425
gemini-3.1-pro,gemini-3.1-pro,completeness,20,+0.175,+0.000,+0.375
gemini-3.1-pro,gemini-3.1-pro,clarity,20,+0.225,+0.050,+0.400
gemini-3.1-pro,gemini-3.1-pro,creativity,20,+0.300,+0.075,+0.550
gemini-3.1-pro,gemini-3.1-pro,constraint_adherence,20,+0.150,+0.025,+0.300
gemini-3.1-pro,gpt-5.5,correctness,20,-0.050,-0.250,+0.175
gemini-3.1-pro,gpt-5.5,completeness,20,+0.100,-0.075,+0.275
gemini-3.1-pro,gpt-5.5,clarity,20,+0.075,-0.100,+0.275
gemini-3.1-pro,gpt-5.5,creativity,20,-0.225,-0.450,+0.000
gemini-3.1-pro,gpt-5.5,constraint_adherence,20,+0.050,-0.125,+0.250
gemini-3.1-pro,kimi-k2.6,correctness,20,-0.275,-0.475,-0.100
gemini-3.1-pro,kimi-k2.6,completeness,20,-0.250,-0.450,-0.050
gemini-3.1-pro,kimi-k2.6,clarity,20,-0.225,-0.425,-0.050
gemini-3.1-pro,kimi-k2.6,creativity,20,-0.150,-0.425,+0.125
gemini-3.1-pro,kimi-k2.6,constraint_adherence,20,-0.325,-0.500,-0.175
gpt-5.5,claude-opus-4.7,correctness,20,+0.000,+0.000,+0.000
gpt-5.5,claude-opus-4.7,completeness,20,+0.000,+0.000,+0.000
gpt-5.5,claude-opus-4.7,clarity,20,+0.000,+0.000,+0.000
gpt-5.5,claude-opus-4.7,creativity,20,+0.000,+0.000,+0.000
gpt-5.5,claude-opus-4.7,constraint_adherence,20,+0.000,+0.000,+0.000
gpt-5.5,gemini-3.1-pro,correctness,20,+0.000,+0.000,+0.000
gpt-5.5,gemini-3.1-pro,completeness,20,+0.000,+0.000,+0.000
gpt-5.5,gemini-3.1-pro,clarity,20,+0.000,+0.000,+0.000
gpt-5.5,gemini-3.1-pro,creativity,20,+0.000,+0.000,+0.000
gpt-5.5,gemini-3.1-pro,constraint_adherence,20,+0.000,+0.000,+0.000
gpt-5.5,gpt-5.5,correctness,20,+0.000,+0.000,+0.000
gpt-5.5,gpt-5.5,completeness,20,+0.000,+0.000,+0.000
gpt-5.5,gpt-5.5,clarity,20,+0.000,+0.000,+0.000
gpt-5.5,gpt-5.5,creativity,20,+0.000,+0.000,+0.000
gpt-5.5,gpt-5.5,constraint_adherence,20,+0.000,+0.000,+0.000
gpt-5.5,kimi-k2.6,correctness,20,+0.000,+0.000,+0.000
gpt-5.5,kimi-k2.6,completeness,20,+0.000,+0.000,+0.000
gpt-5.5,kimi-k2.6,clarity,20,+0.000,+0.000,+0.000
gpt-5.5,kimi-k2.6,creativity,20,+0.000,+0.000,+0.000
gpt-5.5,kimi-k2.6,constraint_adherence,20,+0.000,+0.000,+0.000
