judge,author,prompt_id,category,condition,correctness,completeness,clarity,creativity,constraint_adherence
gemini-3.1-pro,gemini-3.1-pro,code-001,coding,c2,8,8,9,7,9
gemini-3.1-pro,gpt-5.5,code-001,coding,c2,8,8,9,7,9
gemini-3.1-pro,kimi-k2.6,code-001,coding,c2,8,8,9,7,9
gemini-3.1-pro,claude-opus-4.7,code-001,coding,c2,8,9,9,7,9
gemini-3.1-pro,claude-opus-4.7,code-002,coding,c2,8,9,9,7,9
gemini-3.1-pro,gemini-3.1-pro,code-002,coding,c2,8,8,9,7,9
gemini-3.1-pro,gpt-5.5,code-002,coding,c2,8,9,9,7,9
gemini-3.1-pro,kimi-k2.6,code-002,coding,c2,8,9,9,7,9
gemini-3.1-pro,claude-opus-4.7,code-003,coding,c2,8,9,9,7,9
gemini-3.1-pro,gpt-5.5,code-003,coding,c2,8,9,9,7,9
gemini-3.1-pro,gemini-3.1-pro,code-003,coding,c2,8,9,9,7,9
gemini-3.1-pro,kimi-k2.6,code-003,coding,c2,8,9,9,7,9
gemini-3.1-pro,kimi-k2.6,code-004,coding,c2,8,8,9,7,9
gemini-3.1-pro,claude-opus-4.7,code-004,coding,c2,8,9,9,7,9
gemini-3.1-pro,gpt-5.5,code-004,coding,c2,8,8,9,7,9
gemini-3.1-pro,gemini-3.1-pro,code-004,coding,c2,8,8,9,7,9
gemini-3.1-pro,claude-opus-4.7,code-005,coding,c2,8,9,9,7,9
gemini-3.1-pro,gpt-5.5,code-005,coding,c2,8,8,9,7,9
gemini-3.1-pro,kimi-k2.6,code-005,coding,c2,8,8,9,7,9
gemini-3.1-pro,gemini-3.1-pro,code-005,coding,c2,8,8,9,7,9
gemini-3.1-pro,kimi-k2.6,math-001,reasoning,c2,8,8,9,7,9
gemini-3.1-pro,gemini-3.1-pro,math-001,reasoning,c2,8,8,9,7,9
gemini-3.1-pro,claude-opus-4.7,math-001,reasoning,c2,8,9,8,7,9
gemini-3.1-pro,gpt-5.5,math-001,reasoning,c2,8,8,9,7,9
gemini-3.1-pro,kimi-k2.6,math-002,reasoning,c2,8,8,9,7,9
gemini-3.1-pro,gpt-5.5,math-002,reasoning,c2,8,8,9,7,9
gemini-3.1-pro,gemini-3.1-pro,math-002,reasoning,c2,8,9,9,7,9
gemini-3.1-pro,claude-opus-4.7,math-002,reasoning,c2,8,9,9,7,9
gemini-3.1-pro,claude-opus-4.7,math-003,reasoning,c2,8,9,9,7,9
gemini-3.1-pro,gemini-3.1-pro,math-003,reasoning,c2,8,8,8,7,9
gemini-3.1-pro,kimi-k2.6,math-003,reasoning,c2,8,8,9,7,9
gemini-3.1-pro,gpt-5.5,math-003,reasoning,c2,8,8,9,7,9
