judge,true_author,predicted_author,confidence,prompt_id
claude-opus-4.7,gemini-3.1-pro,kimi-k2.6,3,code-001
claude-opus-4.7,kimi-k2.6,claude-opus-4.7,4,code-001
claude-opus-4.7,gpt-5.5,gpt-5.5,3,code-001
claude-opus-4.7,claude-opus-4.7,gemini-3.1-pro,3,code-001
claude-opus-4.7,gemini-3.1-pro,kimi-k2.6,3,code-002
claude-opus-4.7,claude-opus-4.7,gemini-3.1-pro,3,code-002
claude-opus-4.7,kimi-k2.6,claude-opus-4.7,3,code-002
claude-opus-4.7,gpt-5.5,gpt-5.5,3,code-002
claude-opus-4.7,gpt-5.5,gpt-5.5,3,code-003
claude-opus-4.7,gemini-3.1-pro,kimi-k2.6,3,code-003
claude-opus-4.7,kimi-k2.6,claude-opus-4.7,3,code-003
claude-opus-4.7,claude-opus-4.7,gemini-3.1-pro,3,code-003
claude-opus-4.7,gemini-3.1-pro,kimi-k2.6,4,code-004
claude-opus-4.7,kimi-k2.6,claude-opus-4.7,5,code-004
claude-opus-4.7,gpt-5.5,gpt-5.5,3,code-004
claude-opus-4.7,claude-opus-4.7,gemini-3.1-pro,4,code-004
claude-opus-4.7,gpt-5.5,gpt-5.5,3,code-005
claude-opus-4.7,claude-opus-4.7,gemini-3.1-pro,4,code-005
claude-opus-4.7,gemini-3.1-pro,kimi-k2.6,3,code-005
claude-opus-4.7,kimi-k2.6,claude-opus-4.7,3,code-005
claude-opus-4.7,gemini-3.1-pro,gemini-3.1-pro,3,math-001
claude-opus-4.7,kimi-k2.6,kimi-k2.6,2,math-001
claude-opus-4.7,claude-opus-4.7,claude-opus-4.7,3,math-001
claude-opus-4.7,gpt-5.5,gpt-5.5,3,math-001
claude-opus-4.7,gemini-3.1-pro,gemini-3.1-pro,3,math-002
claude-opus-4.7,claude-opus-4.7,claude-opus-4.7,4,math-002
claude-opus-4.7,kimi-k2.6,kimi-k2.6,2,math-002
claude-opus-4.7,gpt-5.5,gpt-5.5,3,math-002
claude-opus-4.7,claude-opus-4.7,claude-opus-4.7,5,math-003
claude-opus-4.7,kimi-k2.6,gpt-5.5,3,math-003
claude-opus-4.7,gpt-5.5,kimi-k2.6,2,math-003
claude-opus-4.7,gemini-3.1-pro,gemini-3.1-pro,3,math-003
claude-opus-4.7,claude-opus-4.7,gemini-3.1-pro,3,logic-001
claude-opus-4.7,kimi-k2.6,claude-opus-4.7,3,logic-001
claude-opus-4.7,gpt-5.5,gpt-5.5,3,logic-001
claude-opus-4.7,gemini-3.1-pro,kimi-k2.6,2,logic-001
claude-opus-4.7,claude-opus-4.7,claude-opus-4.7,4,logic-002
claude-opus-4.7,kimi-k2.6,kimi-k2.6,2,logic-002
claude-opus-4.7,gemini-3.1-pro,gemini-3.1-pro,4,logic-002
claude-opus-4.7,gpt-5.5,gpt-5.5,3,logic-002
claude-opus-4.7,kimi-k2.6,kimi-k2.6,2,logic-003
claude-opus-4.7,gpt-5.5,gpt-5.5,3,logic-003
claude-opus-4.7,gemini-3.1-pro,gemini-3.1-pro,3,logic-003
claude-opus-4.7,claude-opus-4.7,claude-opus-4.7,4,logic-003
claude-opus-4.7,claude-opus-4.7,claude-opus-4.7,5,creative-001
claude-opus-4.7,gpt-5.5,gpt-5.5,3,creative-001
