judge,true_author,predicted_author,confidence,prompt_id
gpt-5.5,gemini-3.1-pro,kimi-k2.6,3,code-001
gpt-5.5,claude-opus-4.7,claude-opus-4.7,3,code-001
gpt-5.5,gpt-5.5,gpt-5.5,5,code-001
gpt-5.5,kimi-k2.6,gemini-3.1-pro,3,code-001
gpt-5.5,gemini-3.1-pro,kimi-k2.6,3,code-002
gpt-5.5,claude-opus-4.7,gemini-3.1-pro,3,code-002
gpt-5.5,gpt-5.5,gpt-5.5,5,code-002
gpt-5.5,kimi-k2.6,claude-opus-4.7,3,code-002
gpt-5.5,kimi-k2.6,kimi-k2.6,3,code-003
gpt-5.5,gemini-3.1-pro,gemini-3.1-pro,3,code-003
gpt-5.5,gpt-5.5,gpt-5.5,3,code-003
gpt-5.5,claude-opus-4.7,claude-opus-4.7,4,code-003
gpt-5.5,gemini-3.1-pro,kimi-k2.6,3,code-004
gpt-5.5,claude-opus-4.7,claude-opus-4.7,3,code-004
gpt-5.5,kimi-k2.6,gpt-5.5,3,code-004
gpt-5.5,gpt-5.5,gemini-3.1-pro,3,code-004
gpt-5.5,claude-opus-4.7,claude-opus-4.7,4,code-005
gpt-5.5,gpt-5.5,gemini-3.1-pro,3,code-005
gpt-5.5,gemini-3.1-pro,gpt-5.5,3,code-005
gpt-5.5,kimi-k2.6,kimi-k2.6,3,code-005
gpt-5.5,gpt-5.5,gemini-3.1-pro,3,math-001
gpt-5.5,gemini-3.1-pro,kimi-k2.6,3,math-001
gpt-5.5,claude-opus-4.7,claude-opus-4.7,3,math-001
gpt-5.5,kimi-k2.6,gpt-5.5,5,math-001
gpt-5.5,kimi-k2.6,gpt-5.5,5,math-002
gpt-5.5,gemini-3.1-pro,kimi-k2.6,3,math-002
gpt-5.5,gpt-5.5,gemini-3.1-pro,3,math-002
gpt-5.5,claude-opus-4.7,claude-opus-4.7,3,math-002
gpt-5.5,gpt-5.5,gpt-5.5,3,math-003
gpt-5.5,kimi-k2.6,gemini-3.1-pro,3,math-003
gpt-5.5,gemini-3.1-pro,kimi-k2.6,3,math-003
gpt-5.5,claude-opus-4.7,claude-opus-4.7,4,math-003
gpt-5.5,kimi-k2.6,gpt-5.5,5,logic-001
gpt-5.5,gemini-3.1-pro,kimi-k2.6,3,logic-001
gpt-5.5,claude-opus-4.7,claude-opus-4.7,4,logic-001
gpt-5.5,gpt-5.5,gemini-3.1-pro,3,logic-001
gpt-5.5,gemini-3.1-pro,kimi-k2.6,3,logic-002
gpt-5.5,kimi-k2.6,gemini-3.1-pro,3,logic-002
gpt-5.5,claude-opus-4.7,claude-opus-4.7,4,logic-002
gpt-5.5,gpt-5.5,gpt-5.5,5,logic-002
gpt-5.5,claude-opus-4.7,claude-opus-4.7,4,logic-003
gpt-5.5,gpt-5.5,gpt-5.5,3,logic-003
gpt-5.5,gemini-3.1-pro,gemini-3.1-pro,3,logic-003
gpt-5.5,kimi-k2.6,kimi-k2.6,3,logic-003
gpt-5.5,kimi-k2.6,kimi-k2.6,5,creative-001
gpt-5.5,claude-opus-4.7,claude-opus-4.7,3,creative-001
gpt-5.5,gpt-5.5,gpt-5.5,5,creative-001
