prompt_id,author,mean,sd,n
repl-code-001,claude-opus-4.7,9.133333,0.115470,3
repl-code-001,gemini-3.1-pro,5.733333,1.026320,3
repl-code-001,gpt-5.5,8.533333,0.461880,3
repl-code-001,kimi-k2.6,3.133333,0.611010,3
repl-creative-001,claude-opus-4.7,9.733333,0.305505,3
repl-creative-001,gemini-3.1-pro,8.866667,0.416333,3
repl-creative-001,gpt-5.5,9.600000,0.200000,3
repl-creative-001,kimi-k2.6,4.200000,0.346410,3
repl-design-001,claude-opus-4.7,9.466667,0.305505,3
repl-design-001,gemini-3.1-pro,8.400000,0.529150,3
repl-design-001,gpt-5.5,8.200000,0.721110,3
repl-design-001,kimi-k2.6,4.933333,0.115470,3
repl-ethics-001,claude-opus-4.7,9.466667,0.305505,3
repl-ethics-001,gemini-3.1-pro,7.666667,0.611010,3
repl-ethics-001,gpt-5.5,8.400000,0.400000,3
repl-ethics-001,kimi-k2.6,5.133333,0.832666,3
repl-explain-001,claude-opus-4.7,9.400000,0.529150,3
repl-explain-001,gemini-3.1-pro,8.066667,0.642910,3
repl-explain-001,gpt-5.5,8.800000,0.721110,3
repl-explain-001,kimi-k2.6,7.000000,0.400000,3
repl-history-001,claude-opus-4.7,8.733333,0.757188,3
repl-history-001,gemini-3.1-pro,8.866667,0.115470,3
repl-history-001,gpt-5.5,8.333333,0.757188,3
repl-history-001,kimi-k2.6,8.933333,0.416333,3
repl-logic-001,claude-opus-4.7,9.133333,0.115470,3
repl-logic-001,gemini-3.1-pro,8.266667,0.115470,3
repl-logic-001,gpt-5.5,8.533333,0.642910,3
repl-logic-001,kimi-k2.6,3.666667,0.305505,3
repl-math-001,claude-opus-4.7,9.600000,0.000000,3
repl-math-001,gemini-3.1-pro,9.200000,0.200000,3
repl-math-001,gpt-5.5,9.000000,0.346410,3
repl-math-001,kimi-k2.6,4.200000,0.200000,3
repl-philosophy-001,claude-opus-4.7,8.866667,0.808290,3
repl-philosophy-001,gemini-3.1-pro,7.600000,1.113553,3
repl-philosophy-001,gpt-5.5,8.733333,0.115470,3
repl-philosophy-001,kimi-k2.6,6.066667,0.305505,3
repl-science-001,claude-opus-4.7,9.733333,0.115470,3
repl-science-001,gemini-3.1-pro,8.800000,0.200000,3
repl-science-001,gpt-5.5,8.600000,0.346410,3
repl-science-001,kimi-k2.6,4.533333,0.642910,3
