category,judge,False,True,self_pref_gap
coding,claude-opus-4.7,31.0,48.0,17.0
coding,gemini-3.1-pro,34.333333333333336,29.0,-5.333333333333336
coding,gpt-5.5,28.0,40.0,12.0
coding,kimi-k2.6,39.333333333333336,25.0,-14.333333333333336
creative,claude-opus-4.7,36.333333333333336,50.0,13.666666666666664
creative,gemini-3.1-pro,40.0,48.0,8.0
creative,gpt-5.5,39.0,49.0,10.0
creative,kimi-k2.6,46.666666666666664,29.0,-17.666666666666664
design,claude-opus-4.7,36.666666666666664,50.0,13.333333333333336
design,gemini-3.1-pro,38.0,43.0,5.0
design,gpt-5.5,39.333333333333336,44.0,4.666666666666664
design,kimi-k2.6,41.0,28.0,-13.0
ethics,claude-opus-4.7,34.666666666666664,49.0,14.333333333333336
ethics,gemini-3.1-pro,39.0,40.0,1.0
ethics,gpt-5.5,39.0,44.0,5.0
ethics,kimi-k2.6,40.666666666666664,25.0,-15.666666666666664
explain,claude-opus-4.7,41.333333333333336,50.0,8.666666666666664
explain,gemini-3.1-pro,42.0,43.0,1.0
explain,gpt-5.5,41.0,44.0,3.0
explain,kimi-k2.6,42.0,40.0,-2.0
history,claude-opus-4.7,43.666666666666664,50.0,6.333333333333336
history,gemini-3.1-pro,43.333333333333336,44.0,0.6666666666666643
history,gpt-5.5,43.333333333333336,46.0,2.6666666666666643
history,kimi-k2.6,44.0,42.0,-2.0
logic,claude-opus-4.7,35.333333333333336,47.0,11.666666666666664
logic,gemini-3.1-pro,35.666666666666664,44.0,8.333333333333336
logic,gpt-5.5,35.0,46.0,11.0
logic,kimi-k2.6,42.0,15.0,-27.0
math,claude-opus-4.7,38.0,49.0,11.0
math,gemini-3.1-pro,38.333333333333336,46.0,7.666666666666664
math,gpt-5.5,38.333333333333336,45.0,6.666666666666664
math,kimi-k2.6,45.333333333333336,23.0,-22.333333333333336
philosophy,claude-opus-4.7,35.333333333333336,46.0,10.666666666666664
philosophy,gemini-3.1-pro,38.0,36.0,-2.0
philosophy,gpt-5.5,38.0,44.0,6.0
philosophy,kimi-k2.6,45.0,33.0,-12.0
science,claude-opus-4.7,35.0,50.0,15.0
science,gemini-3.1-pro,39.0,46.0,7.0
science,gpt-5.5,39.666666666666664,45.0,5.333333333333336
science,kimi-k2.6,44.666666666666664,27.0,-17.666666666666664
